"","VVD","CDA","PVV","D66","SP","GL","PvdA","CU","50+","PvdD","SGP","FvD","DENK"
"Lingewaal",1659,1241,1204,543,412,341,416,539,185,155,400,128,24
"Lingewaard",8125,4261,3774,4035,3353,2245,1496,289,1078,727,37,485,50
"Lisse",4332,2167,1740,1809,832,902,600,475,587,448,720,360,24
"Littenseradiel",1422,1795,502,688,636,638,628,225,173,209,40,77,2
"Lochem",6413,3651,1551,3464,1763,2160,1644,404,627,656,69,302,201
"Loon op Zand",3923,2094,2480,1369,1646,938,562,131,567,326,77,207,84
"Lopik",2199,1761,1438,566,438,339,268,724,250,170,727,139,69
"Loppersum",693,1303,551,534,946,723,519,625,186,232,120,58,2
"Losser",2900,3696,2338,1497,1436,668,583,136,508,213,15,228,44
"Maasdriel",3947,2852,3197,1148,1346,668,509,199,498,290,295,293,40
"Maasgouw",3083,2462,2908,1551,1831,782,503,94,775,432,21,342,11
"Maassluis",4519,2668,3388,1875,1381,1173,1086,754,786,557,171,381,1176
"Maastricht",10738,7169,12477,10145,7693,7441,3618,563,2800,2593,79,1575,672
"Marum",1264,1189,945,538,767,429,464,394,217,156,73,114,1
"Medemblik",7842,3983,3561,3058,2027,1707,1344,702,1066,818,239,639,159
"Meerssen",2525,2083,2273,1534,1436,909,525,71,613,347,14,262,8
"Meierijstad",12714,8712,6428,5240,6689,2962,1904,246,1568,944,48,680,817
"Menameradiel",1618,1737,849,924,972,760,885,333,250,215,48,136,3
"Menterwolde",1041,721,1376,632,1581,559,689,272,356,228,31,129,9
"Meppel",4590,2893,2159,2486,2396,1928,1614,1242,682,586,108,360,168
"Middelburg",5022,3405,2813,3128,3004,3072,2160,2031,818,1217,2449,461,375
"Midden-Delfland",4149,2431,1234,1662,484,841,536,514,284,293,77,297,44
"Midden-Drenthe",4555,3871,2466,2194,2422,1574,2007,902,807,523,215,411,9
"Mill en Sint Hubert",1685,1479,986,561,1444,326,234,46,239,114,12,84,6
"Moerdijk",5832,3276,4079,1892,2684,1253,933,587,891,598,141,399,111
"Molenwaard",3045,3261,1857,806,904,553,646,2648,347,265,4165,261,18
"Montferland",5486,4284,4015,2148,2744,1237,997,150,875,486,39,361,105
"Montfoort",2643,1504,1086,922,416,528,356,501,216,174,521,179,80
"Mook en Middelaar",1324,642,547,879,602,580,328,57,112,217,4,64,3
"Neder-Betuwe",2144,1582,2033,673,759,404,689,677,384,183,4618,188,53
"Nederweert",2494,2317,1844,1023,1205,501,355,46,498,203,14,185,2
"Neerijnen",1775,1134,1349,562,456,326,373,273,218,163,944,125,12
"Nieuwegein",8169,3965,6093,4540,3668,3201,2273,1000,1527,1148,233,668,684
"Nieuwkoop",5572,3186,2486,1746,932,1019,680,501,562,383,368,416,42
"Nijkerk",6043,4877,3363,2083,1244,1269,966,2835,668,464,1862,392,334
"Nijmegen",15952,7384,10613,21666,12451,22391,7004,1432,2018,5219,152,1377,2152
"Nissewaard",10560,4789,12359,4101,5464,3093,2879,1145,2904,1555,362,1360,432
"Noord-Beveland",1172,698,711,332,410,253,296,141,175,180,217,105,3
"Noordenveld",4441,2597,2270,2622,2062,2082,2180,851,643,617,98,313,1
"Noordoostpolder",6283,5647,3238,2184,2357,1346,1280,2261,713,523,1221,494,203
"Noordwijk",5578,1906,2102,1909,943,1174,764,276,592,520,79,499,70
"Noordwijkerhout",3487,1443,1390,1126,593,669,387,120,438,289,15,339,14
"Nuenen, Gerwen en Nederwetten",4432,2269,1508,2297,1591,1240,863,167,434,402,14,265,20
"Nunspeet",2836,2925,1810,791,692,509,387,2420,340,276,4396,209,37
"Nuth",1976,1836,1874,958,1301,646,411,41,511,310,14,231,5
"Oegstgeest",4531,1560,1056,3034,607,1547,1024,465,311,512,65,257,54
"Oirschot",3425,2383,1523,1282,1486,617,456,75,389,218,28,207,4
"Oisterwijk",5167,2438,1868,2094,1731,1293,639,128,543,387,21,236,58
"Oldambt",3260,2412,4525,1837,4682,1715,2211,849,952,666,113,440,12
"Oldebroek",1831,2863,1775,644,777,392,485,3018,322,164,2203,174,5
"Oldenzaal",4777,4277,2525,2680,2186,1350,980,165,529,351,28,333,335
"Olst-Wijhe",2539,2421,1113,1376,1089,937,990,267,403,321,70,115,58
"Ommen",2082,3739,936,1006,726,488,475,1289,275,169,209,161,3
"Onderbanken",785,733,1265,418,796,319,152,27,245,156,9,103,8
"Oost Gelre",4853,4780,1768,2316,2115,1119,920,114,749,296,39,261,73
"Oosterhout",8581,3952,5511,3836,3584,2428,1484,313,1168,778,36,554,980
"Ooststellingwerf",2798,2746,2196,1488,1950,1300,1418,669,559,549,136,356,8
"Oostzaan",1802,423,1114,666,432,495,496,107,284,260,27,158,30
"Opmeer",2286,1129,815,943,461,482,358,66,287,177,17,171,2
"Opsterland",3271,3195,1793,1886,2281,1610,1856,1397,501,485,267,254,9
"Oss",11543,7943,9159,5413,9615,3447,2212,320,1756,1122,42,850,1521
"Oud-Beijerland",3766,1846,2248,1548,1010,897,820,825,461,426,1418,379,17
"Oude IJsselstreek",5606,4707,3043,2755,3394,1538,1360,373,885,502,63,288,620
"Ouder-Amstel",2305,833,732,1431,407,878,671,156,288,327,85,155,51
"Oudewater",2004,1243,760,648,287,357,223,358,163,142,297,117,18
"Overbetuwe",7459,4543,3679,4078,2695,2222,1492,906,862,749,609,467,117
"Papendrecht",4653,2713,3048,1794,1620,1296,1009,1349,750,506,913,452,214
"Peel en Maas",6045,6327,4471,2525,2839,1291,821,98,1203,486,41,490,143
"Pekela",765,744,1791,372,1779,417,614,206,269,163,50,106,15
"Pijnacker-Nootdorp",9778,4114,4387,4424,1550,2288,1472,991,782,894,253,757,259
"Purmerend",10687,3826,9191,5407,4400,4177,3209,691,2474,1765,89,1112,553
"Putten",3560,3368,1836,818,619,471,369,2182,348,246,1916,208,38
"Raalte",5988,7112,1860,2861,1969,1444,1117,423,797,322,61,281,104
"Reimerswaal",1860,1555,1686,499,815,312,426,695,297,208,4484,200,69
"Renkum",5001,2524,1879,3518,1471,2439,1469,579,524,909,125,286,92
"Renswoude",670,709,363,124,103,62,53,290,71,45,670,67,3
"Reusel-De Mierden",2062,1606,1107,751,1152,359,278,39,331,148,14,105,2
"Rheden",5829,3091,3529,4016,3157,2868,2176,744,763,1151,132,370,322
"Rhenen",2521,1573,1663,1096,613,760,577,733,307,254,2002,232,124
"Ridderkerk",5385,3460,5273,2183,2233,1588,1351,1688,1263,764,2493,662,419
"Rijnwaarden",1447,958,1309,655,958,373,309,63,347,163,12,130,6
"Rijssen-Holten",3646,5043,2316,1268,1149,688,810,2824,444,233,5899,303,153
"Rijswijk",6852,3015,5507,4014,2009,2748,1752,621,1164,1171,114,692,517
"Roerdalen",2341,2135,3044,1148,1471,682,471,69,742,364,16,284,27
"Roermond",6169,3907,6169,3596,3753,2595,1325,227,1333,1069,27,902,1384
"Roosendaal",10749,5745,8177,4296,4867,4098,1753,365,1629,1001,71,751,1629
"Rotterdam",53382,18813,50759,42687,26830,37591,20627,7622,10835,12618,2323,5753,25710
"Rozendaal",456,115,61,197,17,85,65,24,21,40,5,16,0
"Rucphen",2718,1575,5396,721,1411,456,377,66,563,224,8,217,9
"Súdwest-Fryslân",10248,12420,5769,5164,5288,4145,3890,2094,1454,1401,289,993,100
"Schagen",9169,3545,3265,3658,2381,2433,1964,361,1059,1014,67,683,19
"Scherpenzeel",1418,1059,712,336,216,158,167,561,109,62,1281,123,10
"Schiedam",7120,3274,8339,4209,4008,3444,2397,706,1783,1397,211,894,3453
"Schiermonnikoog",207,138,52,126,79,149,102,50,12,58,8,9,0
"Schinnen",1548,1576,1441,1000,1132,591,341,69,443,306,20,170,7
"Schouwen-Duiveland",5613,3053,2872,1770,1828,1178,1242,1065,706,723,2149,468,4
"Simpelveld",1059,1154,1510,582,991,383,300,27,316,186,7,95,3
"Sint-Michielsgestel",4787,2821,2380,2368,2218,1309,826,136,523,427,18,276,17
"Sint Anthonis",1838,2070,688,684,1598,372,211,37,150,118,21,72,2
"Sittard-Geleen",8944,8609,12115,6130,7525,4576,2450,388,2745,1993,42,1141,570
"Sliedrecht",2411,1990,1998,899,1220,659,715,1652,439,332,2398,228,216
"Slochteren",1590,1250,1088,921,1314,782,777,881,297,269,122,135,3
"Sluis",3544,1881,2305,1032,1461,742,996,229,532,363,187,228,6
"Smallingerland",5075,6048,3982,3200,4445,2800,3103,3235,971,901,500,559,71
"Soest",8575,3414,3449,3805,1472,2334,1311,1073,810,992,481,512,1130
"Someren",3358,2349,1923,1082,1379,522,383,62,556,202,18,173,16
"Son en Breugel",3157,1702,1135,1471,901,754,447,126,371,311,17,161,12
"Stadskanaal",2310,3318,3150,1218,3250,990,1461,1865,742,345,279,345,7
"Staphorst",1095,1893,906,309,280,212,222,1771,136,111,3659,136,0
"Stede Broec",3383,1829,1998,1433,1361,882,709,175,624,383,52,287,51
"Steenbergen",3599,1830,3322,1164,1587,686,531,217,607,318,183,289,13
"Steenwijkerland",5924,5441,3455,2504,2620,1628,2028,1958,914,653,349,417,132
"Stein",2749,2348,3784,1484,2433,1010,573,80,1000,513,24,342,36
"Stichtse Vecht",11581,4789,5296,5675,2363,3263,2116,1341,1288,1254,826,743,360
"Strijen",1449,874,962,492,425,296,315,306,188,185,227,178,1
"Ten Boer",532,852,395,416,643,527,409,595,129,145,96,59,1
"Terneuzen",5634,4244,5351,2493,3349,1754,1723,1447,1356,708,1257,512,520
"Terschelling",1008,423,345,450,247,335,435,78,98,144,9,77,1
"Texel",2704,1310,963,1144,806,1003,776,210,271,373,72,179,1
"Teylingen",7594,3218,2414,3481,1219,1789,987,512,749,646,93,525,97
"Tholen",2455,1902,2475,712,1282,491,620,1019,419,277,3897,258,53
"Tiel",5488,2319,4179,2479,2091,1982,1468,509,903,681,201,550,1084
"Tilburg",24204,11174,16470,17903,13758,14456,5726,1001,3923,4236,175,1923,3971
"Tubbergen",3222,5749,1599,973,748,374,314,75,285,119,38,185,1
"Twenterand",2966,6200,3287,1065,2018,589,712,2003,573,214,977,242,5
"Tynaarlo",5283,2509,1761,3401,1861,2485,2181,986,573,702,70,284,9
"Tytsjerksteradiel",3099,5099,2216,1808,2130,1526,1611,1350,557,511,234,347,5
"Uden",6544,4026,3304,3020,3756,1644,1029,145,746,593,22,415,358
"Uitgeest",2715,980,862,1267,688,815,568,101,270,296,16,210,14
"Uithoorn",5717,1822,2286,2300,1084,1368,973,290,729,592,59,394,203
"Urk",210,1680,1304,58,78,29,19,1376,55,22,6635,199,9
"Utrecht",35248,11377,15157,46444,9995,42093,12030,5486,2952,9482,671,2430,11441
"Utrechtse Heuvelrug",8758,4025,2976,4669,1668,3136,1705,1337,792,1183,1297,555,305
"Vaals",783,711,989,376,662,315,257,30,242,174,4,100,4
"Valkenburg aan de Geul",2294,1843,2012,1243,1156,762,448,86,533,356,12,253,14
"Valkenswaard",4865,2927,3188,2051,2545,1227,883,187,910,464,23,347,19
"Veendam",2380,1702,2831,1561,3252,1183,1591,509,665,432,68,335,314
"Veenendaal",7465,5822,4689,2986,2414,2079,1273,5518,979,592,4202,642,1385
"Veere",3423,2561,1173,1198,917,811,791,873,360,425,2179,264,4
"Veldhoven",7045,3868,4032,3406,3697,1913,1174,342,1064,692,49,437,50
"Velsen",10211,3737,6947,5436,3447,3389,2595,993,1793,1537,122,1076,594
"Venlo",11199,7367,11672,5777,7004,4138,2285,330,2687,1456,68,1240,1936
"Venray",5798,4741,3358,2944,4265,1583,1035,175,833,431,45,386,506
"Vianen",2871,1666,1954,1360,908,870,737,390,434,353,356,214,206
"Vlaardingen",8036,4181,7869,4125,4057,3107,2488,1193,1731,1378,659,971,2433
"Vlagtwedde",1492,1591,1887,662,1650,563,753,322,452,309,83,164,2
"Vlieland",254,68,72,139,61,94,63,21,30,35,9,8,0
"Vlissingen",4741,2696,4049,2526,3159,2133,1700,831,1207,1003,507,581,396
"Voerendaal",1635,1473,1428,1007,1115,533,388,60,395,245,5,133,15
"Voorschoten",4911,1889,1604,2730,845,1518,999,382,339,574,52,323,105
"Voorst",4340,2960,1444,1994,1394,953,1003,313,544,319,301,210,58
"Vught",4933,1862,1577,2751,1749,1563,913,152,427,487,27,228,24
"Waalre",3263,1503,1165,1655,991,822,490,148,374,367,22,200,9
"Waalwijk",7118,3750,4562,2689,3180,1690,1042,738,1165,662,574,488,612
