"Muni","GL","Urban_index","High_edu_perc","Mean_income","Non_west"
"Eindhoven",0.121081149794226,3.22030237580994,0.35,24.6,3
"Elburg",0.0298497267759563,0.881024750325662,0.23,24.4,1
"Emmen",0.0654003950767361,1.09098520792632,0.18,22.3,2
"Enkhuizen",0.0904766099903092,2.32017306652244,0.27,24.1,2
"Enschede",0.0943213570658511,2.76843303402049,0.27,22.2,3
"Epe",0.055355961047556,0.976951444376152,0.2,26,2
"Ermelo",0.0564404432132964,1.47799924783753,0.33,26.9,1
"Etten-Leur",0.0742108536774996,2.43527771322333,0.27,25.8,2
"Ferwerderadiel",0.0617818798267094,0,0.19,22.8,1
"Franekeradeel",0.0825630086118354,0.867457962413452,0.23,22.4,1
"Geertruidenberg",0.0602708803611738,1.78139534883721,0.2,25.4,1
"Geldermalsen",0.0533449680046539,0.738999623918767,0.27,27.7,1
"Geldrop-Mierlo",0.0809594583436545,2.06960081883316,0.3,25.9,2
"Gemert-Bakel",0.0576289495004051,1.18254497001999,0.2,24.9,1
"Gennep",0.0647603027754416,0.810274372446001,0.27,24.6,1
"Giessenlanden",0.0400489147049832,0.0986301369863014,0.27,28.7,1
"Gilze en Rijen",0.0719197175246237,1.73826783670355,0.29,25.4,2
"Goeree-Overflakkee",0.0346361313523233,0.886742034943474,0.23,26.2,1
"Goes",0.0800927118207571,1.76877682403433,0.29,25.4,2
"Goirle",0.0846894719362338,1.79416809605489,0.32,27,1
"Gorinchem",0.0817217423957942,2.54278523489933,0.27,25,3
"Gouda",0.106949417056825,3.25588850174216,0.33,25.4,3
"Grave",0.0670824847250509,0.777687954729184,0.25,25.3,2
"Grootegast",0.055354510119287,0,0.19,22.9,1
"Gulpen-Wittem",0.0871246819338422,0.207112970711297,0.31,25.6,1
"Haaksbergen",0.0501007049345418,1.45035022661722,0.21,24.8,2
"Haaren",0.0703222159412097,0.291157440690151,0.27,29,1
"Haarlem",0.160089477904866,3.73539756312021,0.42,26.1,3
"Haarlemmerliede en Spaarnwoude",0.0942522473440479,0.646643109540636,0.21,28.6,2
"Haarlemmermeer",0.0753798208024932,2.43472602739726,0.29,28,3
"Halderberge",0.0558516544525872,0.980730223123732,0.25,25.7,2
"Hardenberg",0.0404496140204465,0.615346287992028,0.16,23.6,1
"Harderwijk",0.0656962334624917,2.27594390507012,0.24,25.1,3
"Hardinxveld-Giessendam",0.0253736531108794,1.39149888143177,0.23,25.7,1
"Haren",0.141554593116025,1.30250383239653,0.46,30.8,2
"Harlingen",0.0794763426450881,1.52269861286255,0.25,22.2,1
"Hattem",0.0560933234053115,1.20847176079734,0.31,26.6,1
"Heemskerk",0.0936405830144125,3.11130967577227,0.23,25.8,3
"Heemstede",0.0917977528089888,2.47512991833705,0.47,35.3,2
"Heerde",0.0416700777732296,0.785560344827586,0.27,25.7,1
"Heerenveen",0.0955143941084579,1.32470119521912,0.23,24.1,2
"Heerhugowaard",0.0862676605433054,2.48826205641492,0.21,24.9,3
"Heerlen",0.0726456855254381,2.69411629774057,0.22,21.8,2
"Heeze-Leende",0.0606384010866401,0.616804583068109,0.28,29.2,1
"Heiloo",0.101410428234093,1.97944006999125,0.36,29.5,1
"Hellendoorn",0.0543199495480345,1.13666852990497,0.18,24.2,1
"Hellevoetsluis",0.0581494783649735,2.40629839958699,0.22,26.7,2
"Helmond",0.072005218951317,2.40955744399073,0.23,23.7,3
"Hendrik-Ido-Ambacht",0.0457007992275921,2.77168796234028,0.24,27.5,2
"het Bildt",0.0723903057183589,0.168571428571429,0.19,21.9,1
"Heumen",0.104334449371098,1.02912621359223,0.33,28.6,1
