"Muni","CDA","GL","Urban_index","High_edu_perc","Mean_income","Non_west_perc","Non_west"
"Son en Breugel",0.161097964978703,0.0713677236157123,0.838244137101624,0.35,29.7,0.04,"1"
"Stadskanaal",0.172095435684647,0.0513485477178423,1.06292622442653,0.17,21.5,0.03,"1"
"Staphorst",0.176421248835042,0.019757688723206,0.386458957459557,0.18,24.5,0.02,"1"
"Stede Broec",0.138907875749981,0.0669856459330144,1.84508348794063,0.19,24.6,0.05,"2"
"Steenbergen",0.127561689669594,0.0478182071657605,0.954943679599499,0.22,24.8,0.03,"1"
"Steenwijkerland",0.194161938407736,0.0580951361381722,0.740450989415555,0.22,23.6,0.04,"1"
"Stichtse Vecht",0.117104780535518,0.0797897053429515,1.75034910783553,0.34,29.4,0.09,"2"
"Strijen",0.148185825703628,0.050186503899627,0.718678815489749,0.22,27.2,0.03,"1"
"Ten Boer",0.177536986872265,0.109814544696812,0.528120713305898,0.27,24.7,0.03,"1"
"Terneuzen",0.139844470805325,0.0577962303940952,1.11998534530134,0.2,24.5,0.07,"2"
"Terschelling",0.115890410958904,0.0917808219178082,0,0.23,25.9,0.02,"1"
"Texel",0.133509987770077,0.102221769262128,0.782865583456425,0.28,24.3,0.03,"1"
"Teylingen",0.137969473503687,0.0767021094151946,2.30387811634349,0.33,29.8,0.06,"2"
"Tholen",0.119924337957125,0.0309583858764187,0.556991774383079,0.16,24,0.03,"1"
"Tiel",0.0968914514916019,0.0828110637586697,2.07542168674699,0.21,24.3,0.16,"3"
"Tilburg",0.0939623276152035,0.121560713084427,3.06618025349609,0.31,23.4,0.16,"3"
"Tubbergen",0.420187107148078,0.0273351849144862,0.210302457466919,0.23,25.5,0.01,"1"
"Twenterand",0.297347849024028,0.0282480456572826,0.663220088626292,0.2,22.9,0.02,"1"
"Tynaarlo",0.113503732187288,0.11241800497625,0.557692307692308,0.35,27.7,0.03,"1"
"Tytsjerksteradiel",0.248816669106524,0.0744644512760455,0.468710888610763,0.25,23.9,0.03,"1"
"Uden",0.157253339582845,0.0642137333020858,1.93064282261962,0.28,25.5,0.08,"2"
"Uitgeest",0.111338332197228,0.0925925925925926,1.72383073496659,0.26,27.8,0.05,"2"
"Uithoorn",0.102261884716843,0.0767806027950833,2.18287671232877,0.32,27.5,0.12,"3"
"Urk",0.14390954257324,0.00248415281822854,1.70425321463897,0.17,24,0.02,"1"
"Utrecht (gemeente)",0.0555501303672744,0.205526205286954,3.47880713619403,0.53,26.3,0.22,"3"
"Utrechtse Heuvelrug",0.124205394062828,0.0967722026785163,1.11521207177814,0.39,30.2,0.07,"2"
"Vaals",0.153001936733376,0.0677856681730148,1.46138002059732,0.21,22.2,0.05,"2"
"Valkenburg aan de Geul",0.167362876861606,0.069197239375227,0.711070559610706,0.26,25.3,0.03,"1"
"Valkenswaard",0.149062945610104,0.062487268282746,2.10583224115334,0.21,25.3,0.04,"1"
"Veendam",0.101171015871129,0.0703203946977352,1.47947693425354,0.22,22.2,0.07,"2"
"Veenendaal",0.145382809768766,0.0519152974079808,2.95224019912881,0.28,24.8,0.12,"3"
"Veere",0.170972695106482,0.0541424661192336,0.250684931506849,0.22,26.7,0.02,"1"
"Veldhoven",0.139292016277144,0.0688897691670568,2.48960429242119,0.34,27,0.06,"2"
"Velsen",0.089237528953841,0.0809274780905987,2.74977817213842,0.25,25.8,0.09,"2"
"Venlo",0.128886089679665,0.0723945485400374,2.31661224893638,0.23,23.3,0.12,"3"
"Venray",0.181647509578544,0.0606513409961686,1.41299357208448,0.25,24.7,0.09,"2"
"Vianen",0.135238249857943,0.0706226154720351,1.2895537525355,0.27,26.5,0.1,"3"
"Vlaardingen",0.0990101354551482,0.0735767737046509,3.57083333333333,0.22,23.6,0.2,"3"
"Vlagtwedde",0.160221550855992,0.0566968781470292,0.296040226272784,0.22,22,0.04,"1"
"Vlissingen",0.105605389948686,0.0835520388577696,2.79554154469714,0.19,23.1,0.11,"3"
"Voerendaal",0.17469165085389,0.0632115749525617,0.498797113071371,0.33,26.8,0.03,"1"
"Voorschoten",0.11609612193473,0.0932948190031344,2.65191623864085,0.37,30.9,0.09,"2"
"Voorst",0.186951304237984,0.0601907408577023,0.716646014043784,0.27,26.3,0.03,"1"
"Vught",0.111543760857845,0.0936320613430779,1.93582887700535,0.4,29.9,0.04,"1"
"Waalre",0.136524661640476,0.0746661822145517,1.05443786982249,0.36,31.3,0.05,"2"
"Waalwijk",0.1326494517156,0.0597806862398302,1.82071292976165,0.24,24.9,0.08,"2"
"Waddinxveen",0.136307529536237,0.0575442308822665,2.27807083647325,0.27,26.7,0.08,"2"
"Wageningen",0.0793984060330791,0.203959208158368,2.71632865314613,0.45,25.3,0.12,"3"
"Wassenaar",0.122752098041828,0.04942054082856,2.07485604606526,0.39,39.3,0.11,"3"
"Waterland",0.143208411056469,0.0963201627946413,0.878542510121457,0.28,29.6,0.05,"2"
"Weert",0.148249579305111,0.0582373709044115,1.79810407422348,0.24,24.8,0.1,"3"
"Weesp",0.0969754744778577,0.121934309732213,2.56296691568837,0.34,26.9,0.15,"3"
"Werkendam",0.18525564803805,0.036563614744352,0.74487895716946,0.18,26.5,0.03,"1"
"West Maas en Waal",0.152207123904479,0.0539519176650318,0.292087095061073,0.25,25.6,0.02,"1"
"Westerveld",0.137235194062162,0.0845059533013762,0,0.24,25.6,0.02,"1"
"Westervoort",0.125916614288707,0.0841190027236539,1.84789859906604,0.23,24.3,0.08,"2"
"Westland",0.188578092108252,0.0397389105117293,2.11939026699489,0.24,26.3,0.06,"2"
"Weststellingwerf",0.164194719675057,0.0767431841959505,0.830210772833724,0.15,23,0.04,"1"
"Westvoorne",0.114383846794338,0.0404870940882598,0.732117812061711,0.26,31.8,0.04,"1"
"Wierden",0.298132448703772,0.0368595650571323,0.943045810978126,0.29,26.4,0.02,"1"
"Wijchen",0.136796404905172,0.0720542310914769,1.72627201565558,0.31,25.8,0.05,"2"
"Wijdemeren",0.130953144029229,0.0673674764438177,0.733049040511727,0.27,30.1,0.04,"1"
"Wijk bij Duurstede",0.128942063853306,0.0868717081734833,1.63744680851064,0.28,27.9,0.05,"2"
"Winsum",0.176839511703438,0.126329936163064,0.444852941176471,0.31,24.2,0.03,"1"
"Winterswijk",0.157028913260219,0.0870721169823862,1.77420470262794,0.2,23.5,0.06,"2"
"Woensdrecht",0.142074767838717,0.0475434558298278,0.986721611721612,0.19,25.5,0.03,"1"
"Woerden",0.157096030108049,0.0788211727570717,1.83964278780819,0.33,28.4,0.08,"2"
"Wormerland",0.0992703533026114,0.105702764976959,2.02465233881163,0.27,26.7,0.06,"2"
"Woudenberg",0.1585516559565,0.0400395452298567,1.32781717888101,0.31,27.2,0.05,"2"
"Woudrichem",0.209831254585473,0.0412954616916466,0.225584594222834,0.25,26.8,0.02,"1"
"Zaanstad",0.073797809871449,0.104450540730496,2.73008849557522,0.25,24.3,0.2,"3"
"Zaltbommel",0.129619867627248,0.0570491419199906,0.789397764154345,0.26,26.5,0.06,"2"
"Zandvoort",0.0763180073040547,0.0667665511752037,2.68442865600947,0.26,26.3,0.08,"2"
"Zederik",0.210406256789051,0.0347599391701065,0.0534296028880866,0.22,27.1,0.02,"1"
"Zeewolde",0.14622641509434,0.0578210590383445,1.29875333926981,0.25,25.6,0.06,"2"
"Zeist",0.0977191063896266,0.117065041920533,2.36155315085933,0.44,29.5,0.14,"3"
"Zevenaar",0.155867737003058,0.0721999235474006,1.75108091414453,0.25,24.2,0.05,"2"
"Zoetermeer",0.0998493651818377,0.0835081773187002,3.2885308968502,0.3,26,0.2,"3"
"Zoeterwoude",0.171345770693715,0.0845861257018656,1.05495818399044,0.3,28.8,0.05,"2"
"Zuidhorn",0.188168557536467,0.100162074554295,0.356839872746554,0.35,25.3,0.03,"1"
"Zuidplas",0.122811681160521,0.0570766718566058,1.8350614902339,0.27,28.5,0.08,"2"
"Zundert",0.183099682441329,0.0498024939973666,0.602493074792244,0.19,25.6,0.03,"1"
"Zutphen",0.0944842019983797,0.135194436943019,2.29340937896071,0.33,23.6,0.09,"2"
"Zwartewaterland",0.195703375918921,0.0267646848904432,0.904078888390856,0.2,24.9,0.02,"1"
"Zwijndrecht",0.127001820681455,0.0594879797867202,2.9772624943719,0.23,25.2,0.13,"3"
"Zwolle",0.114236719666116,0.118195917235118,2.71095181202708,0.4,24.9,0.1,"3"
