"Muni","CDA","GL","Urban_index","High_edu_perc","Mean_income","Non_west_perc","Non_west"
"De Bilt",0.103093147109653,0.114520509293549,1.85246668225392,0.44,31.9,0.08,"2"
"De Marne",0.172306252923749,0.0895056915640106,0,0.21,22.6,0.02,"1"
"De Ronde Venen",0.139636752136752,0.0682336182336182,1.32172083235913,0.27,30.6,0.07,"2"
"De Wolden",0.190188679245283,0.060314465408805,0.173473684210526,0.23,25.6,0.02,"1"
"Delft",0.075632789305064,0.145965077075331,3.6491418425725,0.43,24.5,0.2,"3"
"Delfzijl",0.138759172781855,0.0685790527018012,0.878654385262315,0.14,22.4,0.1,"3"
"Den Helder",0.122557077625571,0.0652663622526636,2.59728668332738,0.19,23.1,0.1,"3"
"Deurne",0.195608380338437,0.054441982272361,1.17276995305164,0.26,24.9,0.03,"1"
"Deventer",0.102756686728218,0.120320110201873,2.40976837865055,0.34,24.1,0.13,"3"
"Diemen",0.0617382087970323,0.153219395866455,3.30681818181818,0.35,26.2,0.28,"3"
"Dinkelland",0.373023996360742,0.0337768679631525,0.530868902439024,0.26,26,0.02,"1"
"Doesburg",0.112353422416144,0.0857649304608672,1.13492063492063,0.23,23.3,0.1,"3"
"Doetinchem",0.141303421837285,0.0818117279568366,1.62736510161177,0.26,24.3,0.07,"2"
"Dongen",0.136869389303325,0.0696042483246934,1.78361426891415,0.19,25.6,0.06,"2"
"Dongeradeel",0.304220085470085,0.0601629273504274,0.699581589958159,0.19,22.1,0.02,"1"
"Dordrecht",0.093563661873027,0.0926867765696247,3.22959656363177,0.28,24.2,0.18,"3"
"Drechterland",0.147846426843039,0.0654944345862236,0.44559051057246,0.23,26.4,0.03,"1"
"Drimmelen",0.135322167946034,0.0604791812049314,0.968005952380952,0.23,26.8,0.03,"1"
"Dronten",0.180542226487524,0.0646593090211132,1.10972017673049,0.25,25.3,0.08,"2"
"Druten",0.129456706281834,0.0659592529711375,1.07162089391492,0.3,25.1,0.06,"2"
"Duiven",0.142996524178304,0.0791511677541313,1.72992125984252,0.32,25.5,0.05,"2"
"Echt-Susteren",0.198558289833458,0.0528958488690032,0.886584982720704,0.28,24.9,0.04,"1"
"Edam-Volendam",0.22191699771786,0.0515172005747612,2.00139625802848,0.19,27.6,0.04,"1"
"Ede",0.149348017498008,0.0640801665944571,2.11337388697875,0.31,25.7,0.08,"2"
"Eemnes",0.1343133979285,0.0624791179418644,1.38555555555556,0.24,29,0.05,"2"
"Eemsmond",0.171199683513006,0.0754623677183266,0.247126436781609,0.19,22.1,0.03,"1"
"Eersel",0.204738862005673,0.0551476722843317,0.66199460916442,0.31,28.2,0.03,"1"
"Eijsden-Margraten",0.209041916167665,0.0704191616766467,0.438339920948617,0.34,27.3,0.02,"1"
"Eindhoven",0.0864570257257719,0.121081149794226,3.22030237580994,0.35,24.6,0.19,"3"
"Elburg",0.195696721311475,0.0298497267759563,0.881024750325662,0.23,24.4,0.03,"1"
"Emmen",0.143671174593527,0.0654003950767361,1.09098520792632,0.18,22.3,0.05,"2"
"Enkhuizen",0.102017443397058,0.0904766099903092,2.32017306652244,0.27,24.1,0.07,"2"
"Enschede",0.122802578601131,0.0943213570658511,2.76843303402049,0.27,22.2,0.16,"3"
"Epe",0.155053417793325,0.055355961047556,0.976951444376152,0.2,26,0.05,"2"
"Ermelo",0.206255771006464,0.0564404432132964,1.47799924783753,0.33,26.9,0.04,"1"
"Etten-Leur",0.137653553102161,0.0742108536774996,2.43527771322333,0.27,25.8,0.09,"2"
"Ferwerderadiel",0.280843850065926,0.0617818798267094,0,0.19,22.8,0.03,"1"
"Franekeradeel",0.217903136604251,0.0825630086118354,0.867457962413452,0.23,22.4,0.03,"1"
"Geertruidenberg",0.127539503386005,0.0602708803611738,1.78139534883721,0.2,25.4,0.03,"1"
"Geldermalsen",0.134264107038976,0.0533449680046539,0.738999623918767,0.27,27.7,0.04,"1"
"Geldrop-Mierlo",0.139418710263397,0.0809594583436545,2.06960081883316,0.3,25.9,0.08,"2"
"Gemert-Bakel",0.199351876856603,0.0576289495004051,1.18254497001999,0.2,24.9,0.03,"1"
"Gennep",0.142042799738342,0.0647603027754416,0.810274372446001,0.27,24.6,0.04,"1"
"Giessenlanden",0.177111994293284,0.0400489147049832,0.0986301369863014,0.27,28.7,0.02,"1"
"Gilze en Rijen",0.139750975655083,0.0719197175246237,1.73826783670355,0.29,25.4,0.09,"2"
"Goeree-Overflakkee",0.129491183243431,0.0346361313523233,0.886742034943474,0.23,26.2,0.02,"1"
"Goes",0.147394626148167,0.0800927118207571,1.76877682403433,0.29,25.4,0.07,"2"
"Goirle",0.134041846562604,0.0846894719362338,1.79416809605489,0.32,27,0.04,"1"
"Gorinchem",0.100215921892602,0.0817217423957942,2.54278523489933,0.27,25,0.16,"3"
"Gouda",0.100982282199578,0.106949417056825,3.25588850174216,0.33,25.4,0.16,"3"
"Grave",0.151349287169043,0.0670824847250509,0.777687954729184,0.25,25.3,0.05,"2"
"Grootegast",0.27503015681544,0.055354510119287,0,0.19,22.9,0.01,"1"
"Gulpen-Wittem",0.189821882951654,0.0871246819338422,0.207112970711297,0.31,25.6,0.02,"1"
"Haaksbergen",0.246475327291037,0.0501007049345418,1.45035022661722,0.21,24.8,0.05,"2"
"Haaren",0.198304126625212,0.0703222159412097,0.291157440690151,0.27,29,0.02,"1"
"Haarlem",0.0617587473093319,0.160089477904866,3.73539756312021,0.42,26.1,0.15,"3"
"Haarlemmerliede en Spaarnwoude",0.114682647779896,0.0942522473440479,0.646643109540636,0.21,28.6,0.06,"2"
"Haarlemmermeer",0.105204060588006,0.0753798208024932,2.43472602739726,0.29,28,0.15,"3"
"Halderberge",0.138574283810793,0.0558516544525872,0.980730223123732,0.25,25.7,0.08,"2"
"Hardenberg",0.259727727936574,0.0404496140204465,0.615346287992028,0.16,23.6,0.03,"1"
"Harderwijk",0.171326840506859,0.0656962334624917,2.27594390507012,0.24,25.1,0.11,"3"
"Hardinxveld-Giessendam",0.151286061870003,0.0253736531108794,1.39149888143177,0.23,25.7,0.03,"1"
"Haren",0.115948636121875,0.141554593116025,1.30250383239653,0.46,30.8,0.05,"2"
"Harlingen",0.14019173281105,0.0794763426450881,1.52269861286255,0.25,22.2,0.04,"1"
"Hattem",0.189377016629437,0.0560933234053115,1.20847176079734,0.31,26.6,0.03,"1"
"Heemskerk",0.108419509811905,0.0936405830144125,3.11130967577227,0.23,25.8,0.1,"3"
"Heemstede",0.101797752808989,0.0917977528089888,2.47512991833705,0.47,35.3,0.06,"2"
"Heerde",0.214490380679492,0.0416700777732296,0.785560344827586,0.27,25.7,0.03,"1"
"Heerenveen",0.137660598718398,0.0955143941084579,1.32470119521912,0.23,24.1,0.06,"2"
"Heerhugowaard",0.111124972709977,0.0862676605433054,2.48826205641492,0.21,24.9,0.12,"3"
"Heerlen",0.0974673053989045,0.0726456855254381,2.69411629774057,0.22,21.8,0.09,"2"
"Heeze-Leende",0.177452216939944,0.0606384010866401,0.616804583068109,0.28,29.2,0.03,"1"
"Heiloo",0.113025719573681,0.101410428234093,1.97944006999125,0.36,29.5,0.04,"1"
"Hellendoorn",0.306369560647467,0.0543199495480345,1.13666852990497,0.18,24.2,0.03,"1"
"Hellevoetsluis",0.090559261159569,0.0581494783649735,2.40629839958699,0.22,26.7,0.09,"2"
"Helmond",0.107477778683846,0.072005218951317,2.40955744399073,0.23,23.7,0.13,"3"
"Hendrik-Ido-Ambacht",0.125140803518747,0.0457007992275921,2.77168796234028,0.24,27.5,0.07,"2"
