"Gemeente","Dutch_perc","West_perc","Non_west_perc"
"Hoogezand-Sappemeer",0.81,0.07,0.12
"Hoorn",0.77,0.09,0.14
"Horst aan de Maas",0.89,0.08,0.03
"Houten",0.85,0.07,0.08
"Huizen",0.8,0.1,0.1
"Hulst",0.73,0.24,0.03
"IJsselstein",0.8,0.07,0.13
"Kaag en Braassem",0.9,0.06,0.04
"Kampen",0.91,0.04,0.05
"Kapelle",0.91,0.06,0.03
"Katwijk",0.89,0.06,0.05
"Kerkrade",0.69,0.26,0.06
"Koggenland",0.92,0.05,0.03
"Kollumerland en Nieuwkruisland",0.95,0.02,0.02
"Korendijk",0.94,0.04,0.02
"Krimpen aan den IJssel",0.85,0.07,0.08
"Krimpenerwaard",0.89,0.05,0.05
"Laarbeek",0.92,0.06,0.02
"Landerd",0.93,0.05,0.03
"Landgraaf",0.77,0.19,0.04
"Landsmeer",0.84,0.09,0.08
"Langedijk",0.89,0.06,0.05
"Lansingerland",0.83,0.07,0.1
"Laren (NH.)",0.81,0.14,0.05
"Leek",0.91,0.05,0.03
"Leerdam",0.78,0.08,0.14
"Leeuwarden",0.83,0.08,0.1
"Leeuwarderadeel",0.92,0.04,0.04
"Leiden",0.7,0.14,0.16
"Leiderdorp",0.78,0.1,0.11
"Leidschendam-Voorburg",0.7,0.14,0.16
"Lelystad",0.7,0.1,0.2
"Leudal",0.88,0.09,0.03
"Leusden",0.87,0.08,0.05
"Lingewaal",0.91,0.05,0.04
"Lingewaard",0.9,0.07,0.03
"Lisse",0.87,0.08,0.05
"Littenseradiel",0.95,0.03,0.02
"Lochem",0.9,0.06,0.04
"Loon op Zand",0.9,0.07,0.04
"Lopik",0.92,0.04,0.04
"Loppersum",0.94,0.04,0.02
"Losser",0.86,0.11,0.03
"Maasdriel",0.9,0.07,0.03
"Maasgouw",0.86,0.11,0.03
"Maassluis",0.73,0.08,0.19
"Maastricht",0.69,0.2,0.11
"Marum",0.94,0.04,0.02
"Medemblik",0.88,0.08,0.04
"Meerssen",0.88,0.1,0.03
"Meierijstad",0.87,0.07,0.06
"Menameradiel",0.94,0.04,0.02
"Menterwolde",0.93,0.04,0.03
"Meppel",0.89,0.05,0.06
"Middelburg (Z.)",0.82,0.1,0.08
"Midden-Delfland",0.89,0.06,0.05
"Midden-Drenthe",0.92,0.04,0.03
"Mill en Sint Hubert",0.94,0.04,0.02
"Moerdijk",0.89,0.07,0.04
"Molenwaard",0.94,0.03,0.03
"Montferland",0.88,0.08,0.03
"Montfoort",0.9,0.05,0.05
"Mook en Middelaar",0.86,0.1,0.04
"Neder-Betuwe",0.93,0.05,0.02
"Nederweert",0.91,0.06,0.02
"Neerijnen",0.92,0.05,0.03
"Niet-gemeentelijk ingedeeld",NA,NA,NA
"Nieuwegein",0.74,0.1,0.16
"Nieuwkoop",0.9,0.06,0.04
"Nijkerk",0.89,0.05,0.06
"Nijmegen",0.75,0.12,0.14
"Nissewaard",0.77,0.09,0.14
"Noord-Beveland",0.88,0.09,0.03
"Noordenveld",0.88,0.04,0.08
"Noordoostpolder",0.86,0.07,0.07
"Noordwijk",0.83,0.12,0.05
"Noordwijkerhout",0.85,0.11,0.04
"Nunspeet",0.93,0.04,0.03
"Nuth",0.87,0.11,0.03
"Oegstgeest",0.77,0.15,0.08
"Oirschot",0.93,0.05,0.03
"Oisterwijk",0.89,0.06,0.05
"Oldambt",0.89,0.07,0.03
"Oldebroek",0.95,0.03,0.02
"Oldenzaal",0.85,0.08,0.08
"Olst-Wijhe",0.92,0.04,0.03
"Ommen",0.93,0.05,0.03
"Onderbanken",0.8,0.17,0.03
"Oost Gelre",0.92,0.05,0.03
"Oosterhout",0.81,0.09,0.11
"Ooststellingwerf",0.93,0.04,0.02
"Oostzaan",0.87,0.06,0.07
"Opmeer",0.93,0.05,0.03
"Opsterland",0.94,0.04,0.03
"Oss",0.82,0.08,0.09
"Oud-Beijerland",0.9,0.06,0.04
"Oude IJsselstreek",0.87,0.07,0.06
"Ouder-Amstel",0.75,0.12,0.12
"Oudewater",0.92,0.05,0.04
"Overbetuwe",0.89,0.07,0.04
"Papendrecht",0.83,0.08,0.09
"Peel en Maas",0.89,0.07,0.04
"Pekela",0.9,0.06,0.04
"Pijnacker-Nootdorp",0.8,0.08,0.12
"Purmerend",0.75,0.09,0.17
"Putten",0.92,0.05,0.03
"Raalte",0.94,0.03,0.03
"Reimerswaal",0.87,0.09,0.04
"Renkum",0.85,0.1,0.05
"Renswoude",0.94,0.04,0.02
"Reusel-De Mierden",0.91,0.06,0.02
"Rheden",0.84,0.09,0.07
"Rhenen",0.89,0.06,0.05
"Ridderkerk",0.82,0.08,0.1
"Rijnwaarden",0.88,0.09,0.03
"Rijssen-Holten",0.92,0.03,0.05
"Rijswijk (ZH.)",0.66,0.15,0.19
"Roerdalen",0.83,0.14,0.03
"Roermond",0.71,0.15,0.14
"Roosendaal",0.76,0.11,0.14
"Rotterdam",0.5,0.12,0.38
"Rozendaal",0.85,0.1,0.05
"Rucphen",0.91,0.06,0.03
"Schagen",0.89,0.07,0.04
"Scherpenzeel",0.93,0.04,0.03
"Schiedam",0.59,0.12,0.29
"Schiermonnikoog",0.91,0.07,0.02
"Schinnen",0.84,0.13,0.03
"Schouwen-Duiveland",0.91,0.07,0.03
"Simpelveld",0.82,0.16,0.02
"Sint-Michielsgestel",0.92,0.05,0.03
"Sint Anthonis",0.94,0.04,0.02
"Sittard-Geleen",0.78,0.15,0.07
"Sliedrecht",0.86,0.05,0.09
"Slochteren",0.94,0.04,0.02
"Sluis",0.73,0.24,0.03
"Smallingerland",0.89,0.05,0.05
"Soest",0.79,0.09,0.12
"Someren",0.91,0.07,0.02
