"Muni","GL_frac","Urban_index","High_educated_frac","Mean_income","GL_abs","Total_abs"
"Gennep",0.065,0.81,0.27,24.6,693,10701
"Giessenlanden",0.04,0.099,0.27,28.7,393,9813
"Gilze en Rijen",0.072,1.738,0.29,25.4,1161,16143
"Goeree-Overflakkee",0.035,0.887,0.23,26.2,1098,31701
"Goes",0.08,1.769,0.29,25.4,1866,23298
"Goirle",0.085,1.794,0.32,27,1275,15055
"Gooise Meren",0.09,2.57,0.39,NA,3221,35648
"Gorinchem",0.082,2.543,0.27,25,1741,21304
"Gouda",0.107,3.256,0.33,25.4,4660,43572
"Grave",0.067,0.778,0.25,25.3,527,7856
"Grootegast",0.055,0,0.19,22.9,413,7461
"Gulpen-Wittem",0.087,0.207,0.31,25.6,856,9825
"Haaksbergen",0.05,1.45,0.21,24.8,796,15888
"Haaren",0.07,0.291,0.27,29,622,8845
"Haarlem",0.16,3.735,0.42,26.1,15172,94772
"Haarlemmerliede en Spaarnwoude",0.094,0.647,0.21,28.6,346,3671
"Haarlemmermeer",0.075,2.435,0.29,28,6579,87278
"Halderberge",0.056,0.981,0.25,25.7,1006,18012
"Hardenberg",0.04,0.615,0.16,23.6,1551,38344
"Harderwijk",0.066,2.276,0.24,25.1,1882,28647
"Hardinxveld-Giessendam",0.025,1.391,0.23,25.7,292,11508
"Haren",0.142,1.303,0.46,30.8,1863,13161
"Harlingen",0.079,1.523,0.25,22.2,771,9701
"Hattem",0.056,1.208,0.31,26.6,452,8058
"Heemskerk",0.094,3.111,0.23,25.8,2300,24562
"Heemstede",0.092,2.475,0.47,35.3,1634,17800
"Heerde",0.042,0.786,0.27,25.7,509,12215
"Heerenveen",0.096,1.325,0.23,24.1,2996,31367
"Heerhugowaard",0.086,2.488,0.21,24.9,2766,32063
"Heerlen",0.073,2.694,0.22,21.8,3594,49473
"Heeze-Leende",0.061,0.617,0.28,29.2,625,10307
"Heiloo",0.101,1.979,0.36,29.5,1589,15669
"Hellendoorn",0.054,1.137,0.18,24.2,1292,23785
"Hellevoetsluis",0.058,2.406,0.22,26.7,1360,23388
"Helmond",0.072,2.41,0.23,23.7,3532,49052
"Hendrik-Ido-Ambacht",0.046,2.772,0.24,27.5,852,18643
"het Bildt",0.072,0.169,0.19,21.9,457,6313
"Heumen",0.104,1.029,0.33,28.6,1153,11051
"Heusden",0.06,1.565,0.31,26.3,1642,27381
"Hillegom",0.074,2.331,0.24,26.2,980,13259
"Hilvarenbeek",0.066,0.675,0.29,27.5,673,10153
"Hilversum",0.116,3.289,0.39,27.4,6073,52415
"Hof van Twente",0.051,0.78,0.28,26,1200,23543
"Hollands Kroon",0.063,0.431,0.19,25,1867,29465
"Hoogeveen",0.053,1.559,0.19,22.5,1812,33900
"Hoogezand-Sappemeer",0.09,1.911,0.2,21.8,1808,20017
"Hoorn",0.109,2.463,0.25,24.8,4659,42711
"Horst aan de Maas",0.055,0.731,0.24,25.7,1444,26162
"Houten",0.1,2.206,0.41,29.7,3129,31220
"Huizen",0.074,2.841,0.33,28.3,1973,26697
"Hulst",0.057,0.477,0.21,25.3,882,15355
"IJsselstein",0.077,2.702,0.3,27.8,1630,21070
"Kaag en Braassem",0.062,0.776,0.23,28,1090,17464
"Kampen",0.058,1.908,0.23,23.3,1934,33329
"Kapelle",0.048,0.874,0.26,26.4,395,8248
"Katwijk",0.038,3.025,0.2,25.6,1528,40316
"Kerkrade",0.054,2.557,0.2,21.4,1350,25035
"Koggenland",0.064,0.483,0.26,26.3,931,14506
"Kollumerland en Nieuwkruisland",0.052,0.36,0.16,22.2,413,7888
"Korendijk",0.045,0.047,0.24,27.4,327,7265
"Krimpen aan den IJssel",0.053,2.84,0.24,26.8,995,18753
"Krimpenerwaard",0.056,1.074,0.25,27.1,2018,36306
"Laarbeek",0.051,0.743,0.25,25.6,707,13774
"Landerd",0.048,0.546,0.28,25.8,479,10037
"Landgraaf",0.058,2.395,0.25,23.3,1339,23003
"Landsmeer",0.099,1.498,0.36,30.1,728,7348
"Langedijk",0.088,1.334,0.3,26.7,1559,17769
"Lansingerland",0.056,2.049,0.36,30.4,2060,37018
"Leek",0.088,0.94,0.26,24,1090,12380
"Leerdam",0.054,1.868,0.25,24.5,684,12702
"Leeuwarden",0.131,2.652,0.3,22.6,8809,67334
"Leeuwarderadeel",0.077,0.675,0.25,24.1,518,6727
"Leiden",0.172,3.738,0.45,26,13179,76572
"Leiderdorp",0.09,3.211,0.32,28.3,1581,17510
"Leidschendam-Voorburg",0.082,3.437,0.39,28.3,3744,45733
"Lelystad",0.089,2.068,0.23,23.5,3796,42436
"Leudal",0.043,0.275,0.24,25.9,966,22457
"Leusden",0.089,1.81,0.34,29.4,1770,19919
"Lingewaal",0.047,0.135,0.24,27.1,341,7247
"Lingewaard",0.075,1.341,0.27,25.6,2245,29955
