Muni,VVD,CDA,PVV,D66,SP,GL,PvdA,CU,X50PLUS,PvdD,SGP,FvD,DENK,Urban_index,High_edu_perc,Mean_income,Dutch_perc,West_perc,Non_west_perc,Non_west,Perc_60plus
Goes,0.200703923,0.147394626,0.110567431,0.09992274,0.104558331,0.080092712,0.059704696,0.049102927,0.030946862,0.031461928,0.064984119,0.015366126,0.005193579,1.768776824,0.29,25.4,0.85,0.08,0.07,2,0.135590492
Goirle,0.247027566,0.134041847,0.127333112,0.135237463,0.133842577,0.084689472,0.048688143,0.005712388,0.03646629,0.023845898,0.000464962,0.017336433,0.005313849,1.794168096,0.32,27,0.89,0.07,0.04,1,0.153664708
Gooise Meren,0.341646095,0.091225314,0.073945242,0.182646993,0.045556553,0.0903557,0.058656867,0.016775135,0.02513465,0.039413151,0.003927289,0.019804758,0.010912253,2.569546891,0.39,,0.8,0.12,0.08,2,0.11521911
Gorinchem,0.213387157,0.100215922,0.135326699,0.11274878,0.089607585,0.081721742,0.062898986,0.052525347,0.030839279,0.029337214,0.022155464,0.018775817,0.050460008,2.542785235,0.27,25,0.75,0.1,0.16,3,0.110977486
Gouda,0.168938768,0.100982282,0.125562288,0.131965482,0.073166254,0.106949417,0.062723768,0.062448361,0.027586523,0.035756908,0.045809235,0.018291563,0.03981915,3.255888502,0.33,25.4,0.75,0.09,0.16,3,0.121069796
Grave,0.233070265,0.151349287,0.143711813,0.116089613,0.161023422,0.067082485,0.043279022,0.006364562,0.033477597,0.026349287,0.001272912,0.016165988,0.000763747,0.777687955,0.25,25.3,0.87,0.08,0.05,2,0.141471302
Grootegast,0.142474199,0.275030157,0.116204262,0.066613055,0.104677657,0.05535451,0.045838359,0.108430505,0.024795604,0.017691998,0.023455301,0.019300362,0.00013403,0,0.19,22.9,0.96,0.02,0.01,1,0.118198257
Gulpen-Wittem,0.173333333,0.189821883,0.181577608,0.093842239,0.121933842,0.087124682,0.04346056,0.007022901,0.051399491,0.029312977,0.003053435,0.016997455,0.001119593,0.207112971,0.31,25.6,0.86,0.12,0.02,1,0.167887285
Haaksbergen,0.240747734,0.246475327,0.112789527,0.109264854,0.099823766,0.050100705,0.051233635,0.01076284,0.029707956,0.015923968,0.002014099,0.015546324,0.015609265,1.450350227,0.21,24.8,0.88,0.07,0.05,2,0.137895517
Haaren,0.287846241,0.198304127,0.102656868,0.116902205,0.102996043,0.070322216,0.038552855,0.00825325,0.036630865,0.02295082,0.001808932,0.011758055,0.001017524,0.291157441,0.27,29,0.93,0.05,0.02,1,0.151020702
Haarlem,0.194646098,0.061758747,0.094943654,0.182469506,0.071255223,0.160089478,0.079263918,0.017747858,0.028046258,0.057780779,0.002268603,0.017273034,0.032456844,3.735397563,0.42,26.1,0.72,0.13,0.15,3,0.109691074
Haarlemmerliede en Spaarnwoude,0.306728412,0.114682648,0.123127213,0.129120131,0.058567148,0.094252247,0.058294743,0.011985835,0.032416235,0.039498774,0.002179243,0.02397167,0.005175701,0.64664311,0.21,28.6,0.85,0.08,0.06,2,0.131862312
Haarlemmermeer,0.303455625,0.105204061,0.138591627,0.124922661,0.058754784,0.075379821,0.051123995,0.025470336,0.037867504,0.032173056,0.007516213,0.023717317,0.015823002,2.434726027,0.29,28,0.74,0.11,0.15,3,0.114867503
Halderberge,0.263268932,0.138574284,0.201532312,0.083111259,0.123362203,0.055851654,0.034976682,0.008105707,0.039695758,0.020874972,0.001832112,0.015878303,0.012935821,0.980730223,0.25,25.7,0.85,0.07,0.08,2,0.143277325
Hardenberg,0.174864386,0.259727728,0.113368454,0.069398081,0.087393073,0.040449614,0.044596286,0.128729397,0.030461089,0.013613603,0.01992489,0.016691008,0.000782391,0.615346288,0.16,23.6,0.94,0.04,0.03,1,0.118333859
Harderwijk,0.232101093,0.171326841,0.110727127,0.086745558,0.057074039,0.065696233,0.04223828,0.099626488,0.026250567,0.024749537,0.027577059,0.015848082,0.040039097,2.275943905,0.24,25.1,0.82,0.07,0.11,3,0.117621678
Hardinxveld-Giessendam,0.159193604,0.151286062,0.114615919,0.03849496,0.053527981,0.025373653,0.036235662,0.16770942,0.019986097,0.012773723,0.205074731,0.013990268,0.001737921,1.391498881,0.23,25.7,0.94,0.03,0.03,1,0.110004476
Haren,0.223843173,0.115948636,0.049844237,0.174834739,0.064888686,0.141554593,0.088519109,0.058202264,0.018311678,0.042853886,0.005698655,0.014892485,0.000607857,1.302503832,0.46,30.8,0.87,0.08,0.05,2,0.136433316
Harlingen,0.18977425,0.140191733,0.137511597,0.089062983,0.127100299,0.079476343,0.087207504,0.037831151,0.044840738,0.035769508,0.004947944,0.024739718,0.001546232,1.522698613,0.25,22.2,0.88,0.08,0.04,1,0.144388398
Hattem,0.187639613,0.189377017,0.08165798,0.102630926,0.072474559,0.056093323,0.069868454,0.166542566,0.020972946,0.016381236,0.022338049,0.011417225,0.002606106,1.208471761,0.31,26.6,0.92,0.04,0.03,1,0.130980066
Heemskerk,0.244809055,0.10841951,0.139890888,0.124094129,0.09657194,0.093640583,0.062047065,0.01457536,0.041161143,0.032896344,0.002076378,0.024427978,0.015389626,3.111309676,0.23,25.8,0.81,0.09,0.1,3,0.123969263
Heemstede,0.364101124,0.101797753,0.059775281,0.187921348,0.038146067,0.091797753,0.05758427,0.016235955,0.022134831,0.038707865,0.00258427,0.017078652,0.002134831,2.475129918,0.47,35.3,0.81,0.13,0.06,2,0.141186516
Heerde,0.182808023,0.214490381,0.1250921,0.073843635,0.075972165,0.041670078,0.057060991,0.130904625,0.027261564,0.018256242,0.038313549,0.012525583,0.001801064,0.785560345,0.27,25.7,0.94,0.03,0.03,1,0.137600345
Heerenveen,0.199540919,0.137660599,0.099467593,0.11977556,0.120540696,0.095514394,0.107692798,0.035259987,0.028628814,0.027704275,0.00398508,0.016641693,0.007587592,1.324701195,0.23,24.1,0.89,0.06,0.06,2,0.126088082
Heerhugowaard,0.267348657,0.111124973,0.124504881,0.126220254,0.095468297,0.086267661,0.060786576,0.020522097,0.035399058,0.033028725,0.002152013,0.021457755,0.015719053,2.488262056,0.21,24.9,0.8,0.09,0.12,3,0.112811647
Heerlen,0.132213531,0.097467305,0.237968185,0.086329917,0.206435834,0.072645686,0.041315465,0.007883088,0.045499565,0.038020739,0.001677683,0.018838558,0.013704445,2.694116298,0.22,21.8,0.72,0.19,0.09,2,0.140315866
Heeze-Leende,0.296206462,0.177452217,0.11370913,0.128165325,0.106238479,0.060638401,0.040749006,0.008828951,0.028427282,0.022703017,0.001649365,0.01416513,0.001067236,0.616804583,0.28,29.2,0.9,0.07,0.03,1,0.147639048
Heiloo,0.308379603,0.11302572,0.074414449,0.16293318,0.056225669,0.101410428,0.076392878,0.015189227,0.024379348,0.043972174,0.003382475,0.019209905,0.001084945,1.97944007,0.36,29.5,0.88,0.08,0.04,1,0.140219626
Hellendoorn,0.194324154,0.306369561,0.105024175,0.088837503,0.094134959,0.05431995,0.044692033,0.04910658,0.025141896,0.015766239,0.008072314,0.012655035,0.001555602,1.13666853,0.18,24.2,0.93,0.04,0.03,1,0.135720675
Hellevoetsluis,0.242645801,0.090559261,0.222550026,0.086582863,0.088677955,0.058149478,0.056139901,0.01877031,0.052035232,0.03386352,0.004275697,0.0315974,0.014152557,2.4062984,0.22,26.7,0.82,0.09,0.09,2,0.149269149
Helmond,0.213915844,0.107477779,0.209165783,0.097386447,0.144071597,0.072005219,0.038693631,0.007909973,0.036797684,0.024219196,0.001039713,0.016716953,0.030600179,2.409557444,0.23,23.7,0.75,0.13,0.13,3,0.111134412
Hendrik-Ido-Ambacht,0.236764469,0.125140804,0.136029609,0.082926568,0.060451644,0.045700799,0.040926889,0.063240895,0.028375261,0.020543904,0.130933863,0.02000751,0.008957786,2.771687962,0.24,27.5,0.86,0.06,0.07,2,0.105008241
het Bildt,0.172976398,0.219546967,0.115792808,0.078726438,0.130207508,0.072390306,0.079993664,0.036274355,0.033423095,0.034373515,0.004593696,0.021701251,0,0.168571429,0.19,21.9,0.9,0.05,0.04,1,0.138473268
Heumen,0.245045697,0.150122161,0.09628088,0.155732513,0.110759207,0.104334449,0.060356529,0.011582662,0.022803366,0.029499593,0.000814406,0.011311194,0.001357343,1.029126214,0.33,28.6,0.87,0.09,0.04,1,0.144704097
Heusden,0.266206494,0.146451919,0.161243198,0.108834593,0.11398415,0.059968591,0.040356452,0.010956503,0.034074723,0.023812133,0.002300866,0.016690406,0.015119974,1.565487132,0.31,26.3,0.87,0.07,0.06,2,0.131331005
Hillegom,0.291877215,0.12376499,0.137265254,0.120144807,0.066068331,0.07391206,0.051813862,0.017572969,0.042612565,0.033411268,0.005656535,0.029413983,0.00648616,2.331299859,0.24,26.2,0.83,0.11,0.06,2,0.130606117
Hilvarenbeek,0.281493155,0.206145967,0.092977445,0.120752487,0.118191667,0.066285827,0.042745986,0.007386979,0.029449424,0.022259431,0.000886438,0.011031222,0.000393972,0.67539267,0.29,27.5,0.92,0.05,0.02,1,0.134593993
Hilversum,0.237794524,0.082896118,0.104359439,0.172393399,0.070666794,0.115863779,0.063226176,0.02749213,0.034341315,0.043956883,0.006696556,0.018010112,0.022302776,3.289041404,0.39,27.4,0.74,0.13,0.13,3,0.110498605
Hof van Twente,0.263772671,0.248523977,0.10474451,0.108737204,0.08308202,0.050970564,0.061929236,0.0135072,0.025060528,0.015036317,0.004587351,0.014696513,0.005351909,0.779777207,0.28,26,0.91,0.06,0.03,1,0.136928394
Hollands Kroon,0.292482606,0.131919226,0.148481249,0.099643645,0.083319192,0.063363312,0.055998642,0.019548617,0.041846258,0.027829628,0.005905311,0.029153233,0.000509079,0.430581811,0.19,25,0.9,0.07,0.03,1,0.134789916
Hoogeveen,0.158849558,0.205250737,0.156548673,0.070619469,0.12660767,0.053451327,0.05879056,0.071474926,0.035221239,0.017168142,0.020442478,0.021238938,0.004336283,1.559211716,0.19,22.5,0.9,0.06,0.05,2,0.12541809
Hoogezand-Sappemeer,0.141479742,0.089324075,0.152370485,0.085577259,0.187490633,0.090323225,0.095269021,0.04096518,0.044961782,0.028775541,0.0036469,0.014987261,0.024828895,1.910896874,0.2,21.8,0.81,0.07,0.12,3,0.132478383
Hoorn,0.235840884,0.08960221,0.127180352,0.130926459,0.098616282,0.10908197,0.074126103,0.016272155,0.036782094,0.040457962,0.002552036,0.022359579,0.016201915,2.462546558,0.25,24.8,0.77,0.09,0.14,3,0.12947457
Horst aan de Maas,0.218637719,0.224982799,0.131220855,0.111535815,0.139591774,0.055194557,0.035165507,0.005733507,0.040096323,0.019493922,0.000917361,0.016283159,0.001146701,0.73089701,0.24,25.7,0.89,0.08,0.03,1,0.133605449
Houten,0.254900705,0.122037156,0.100800769,0.148046124,0.058520179,0.100224215,0.05554132,0.063036515,0.026617553,0.027642537,0.023318386,0.014349776,0.004964766,2.206085193,0.41,29.7,0.85,0.07,0.08,2,0.117586207
Huizen,0.278345882,0.130464097,0.10499307,0.122111099,0.05457542,0.073903435,0.050867139,0.057234895,0.031988613,0.034685545,0.022586808,0.021875117,0.01636888,2.840985984,0.33,28.3,0.8,0.1,0.1,3,0.148446184
Hulst,0.230543797,0.155063497,0.182611527,0.083946597,0.123933572,0.057440573,0.055682188,0.008466298,0.05424943,0.027482905,0.003647021,0.015695213,0.001237382,0.477372263,0.21,25.3,0.73,0.24,0.03,1,0.146705603
IJsselstein,0.274466065,0.125011865,0.133080209,0.142192691,0.068675842,0.077361177,0.049169435,0.024537257,0.032890365,0.026150925,0.010061699,0.017465591,0.018936877,2.702426191,0.3,27.8,0.8,0.07,0.13,3,0.108103368
Kaag en Braassem,0.322434723,0.155863491,0.133703619,0.124312872,0.053252405,0.062414109,0.040769583,0.015517636,0.033783784,0.026053596,0.005726065,0.024793862,0.001374256,0.775502465,0.23,28,0.9,0.06,0.04,1,0.13744597
Kampen,0.13630772,0.195175373,0.113084701,0.062528129,0.078790243,0.058027544,0.041195355,0.140508266,0.023853101,0.016022083,0.108914159,0.014251853,0.011341474,1.9083984,0.23,23.3,0.91,0.04,0.05,2,0.107291806
Kapelle,0.219689622,0.156886518,0.101479146,0.083414161,0.073472357,0.047890398,0.044616877,0.070320078,0.029946654,0.023035887,0.131789525,0.01685257,0.000606208,0.874109264,0.26,26.4,0.91,0.06,0.03,1,0.127238156
Katwijk,0.203690842,0.204955849,0.146517512,0.057991864,0.044721699,0.037900585,0.029293581,0.097405497,0.028425439,0.020909812,0.097008632,0.026763568,0.004415121,3.024790827,0.2,25.6,0.89,0.06,0.05,2,0.113556065
Kerkrade,0.129538646,0.110844817,0.292550429,0.064589575,0.195725984,0.053924506,0.042300779,0.004274016,0.048611943,0.032594368,0.00087877,0.018374276,0.005791891,2.556934465,0.2,21.4,0.69,0.26,0.06,2,0.15900037
Koggenland,0.343444092,0.153936302,0.112367296,0.109127258,0.06714463,0.064180339,0.049427823,0.009099683,0.036881291,0.028815662,0.00344685,0.021508341,0.000620433,0.48268206,0.26,26.3,0.92,0.05,0.03,1,0.131427049
Kollumerland en Nieuwkruisland,0.143382353,0.285370183,0.138057809,0.059837728,0.105856998,0.052358012,0.04994929,0.076825558,0.030552738,0.018889452,0.018889452,0.020030426,0,0.360248447,0.16,22.2,0.95,0.02,0.02,1,0.124145432
Korendijk,0.212801101,0.126909842,0.143427392,0.067584308,0.059325533,0.045010323,0.039091535,0.043358568,0.034549209,0.024776325,0.181004818,0.021748107,0.000412939,0.046532847,0.24,27.4,0.94,0.04,0.02,1,0.136782553
Krimpen aan den IJssel,0.192822482,0.107129526,0.148722871,0.086332853,0.064842958,0.053058177,0.055457793,0.067135925,0.03087506,0.025062657,0.143443716,0.020636698,0.004479283,2.840027463,0.24,26.8,0.85,0.07,0.08,2,0.128111802
Krimpenerwaard,0.246075029,0.133035862,0.127527131,0.086046384,0.060348152,0.055583099,0.051864706,0.06131218,0.028066986,0.028480141,0.094557373,0.019500909,0.007602049,1.073731884,0.25,27.1,0.89,0.05,0.05,2,0.126277081
Laarbeek,0.255844344,0.174241324,0.158922608,0.100406563,0.156018586,0.05132859,0.036300276,0.004501234,0.027225207,0.01967475,0.001234209,0.014011906,0.000290402,0.743391067,0.25,25.6,0.92,0.06,0.02,1,0.141327135
Landerd,0.258842284,0.190893693,0.129620405,0.104712564,0.165288433,0.047723423,0.035867291,0.006276776,0.029690146,0.016837701,0.000996314,0.013051709,0.000199263,0.545632334,0.28,25.8,0.93,0.05,0.03,1,0.141077485
Landgraaf,0.149067513,0.118680172,0.26648698,0.08172847,0.168847542,0.058209799,0.043950789,0.006651306,0.052167109,0.031865409,0.00099987,0.018475851,0.002869191,2.395460614,0.25,23.3,0.77,0.19,0.04,1,0.159325111
Landsmeer,0.266467066,0.074305934,0.136771911,0.139629831,0.08614589,0.099074578,0.078524769,0.008982036,0.033886772,0.041916168,0.003130103,0.025585193,0.00557975,1.497781721,0.36,30.1,0.84,0.09,0.08,2,0.136762749
Langedijk,0.290562215,0.120490742,0.113962519,0.127244077,0.07147279,0.08773707,0.056221509,0.029433283,0.033991783,0.035455006,0.004952445,0.024143171,0.00433339,1.333936979,0.3,26.7,0.89,0.06,0.05,2,0.139524775
Lansingerland,0.32505808,0.135798801,0.131746718,0.116862067,0.042817008,0.055648603,0.039791453,0.055783673,0.025501108,0.025987358,0.011642984,0.022961802,0.010400346,2.049417637,0.36,30.4,0.83,0.07,0.1,3,0.097396223
Leek,0.173263328,0.15904685,0.11082391,0.099676898,0.119386107,0.088045234,0.080290792,0.084410339,0.031583199,0.023990307,0.011550889,0.016235864,0.001696284,0.940458015,0.26,24,0.91,0.05,0.03,1,0.13490811
Leerdam,0.193670288,0.131160447,0.146197449,0.070540072,0.071091167,0.053849787,0.043300268,0.069201701,0.027082349,0.021965045,0.088490002,0.015588096,0.067863329,1.867527499,0.25,24.5,0.78,0.08,0.14,3,0.124850514
Leeuwarden,0.154780646,0.10832566,0.107241512,0.134003624,0.121691864,0.130825437,0.103424719,0.035509549,0.02841061,0.045162919,0.003579172,0.02208394,0.004960347,2.651789822,0.3,22.6,0.83,0.08,0.1,3,0.113631553
Leeuwarderadeel,0.172588078,0.195778207,0.096625539,0.100044596,0.116545265,0.077003122,0.110599078,0.04801546,0.030325554,0.02987959,0.004310986,0.017392597,0.000891928,0.674579624,0.25,24.1,0.92,0.04,0.04,1,0.153146023
Leiden,0.170702084,0.062921172,0.106723084,0.212936844,0.06728308,0.172112522,0.070352087,0.025022201,0.020934545,0.048216058,0.003499974,0.017996134,0.021300214,3.738497615,0.45,26,0.7,0.14,0.16,3,0.103072108
Leiderdorp,0.256596231,0.114277556,0.111821816,0.164877213,0.062193033,0.090291262,0.069617362,0.023700742,0.030039977,0.030325528,0.010451171,0.022158766,0.013649343,3.210836712,0.32,28.3,0.78,0.1,0.11,3,0.130713654
Leidschendam-Voorburg,0.280563269,0.117005226,0.124855137,0.153084206,0.0542278,0.081866486,0.060240964,0.020947675,0.031552708,0.038746638,0.00459187,0.021363129,0.01095489,3.436595174,0.39,28.3,0.7,0.14,0.16,3,0.130998338
Lelystad,0.200136676,0.090135734,0.18076633,0.097723631,0.097629371,0.089452352,0.060420398,0.037468187,0.046540673,0.039353379,0.007847111,0.021703271,0.030822886,2.068096166,0.23,23.5,0.7,0.1,0.2,3,0.133056917
Leudal,0.206884268,0.180122011,0.165427261,0.167876386,0.110166095,0.043015541,0.028187202,0.005744311,0.04408425,0.022843657,0.002048359,0.022754598,0.000846061,0.275362319,0.24,25.9,0.88,0.09,0.03,1,0.150537934
Leusden,0.274310959,0.149003464,0.075355189,0.145388825,0.058587278,0.088859883,0.052060846,0.059541142,0.024599628,0.029921181,0.01887645,0.019830313,0.003664843,1.810309973,0.34,29.4,0.87,0.08,0.05,2,0.138625872
Lingewaal,0.228922313,0.171243273,0.166137712,0.074927556,0.056851111,0.047053953,0.057403063,0.074375604,0.025527805,0.021388161,0.055195253,0.017662481,0.003311715,0.134529148,0.24,27.1,0.91,0.05,0.04,1,0.135687399
Lingewaard,0.271240194,0.142246703,0.125988983,0.134702053,0.111934569,0.074945752,0.049941579,0.009647805,0.035987314,0.024269738,0.001235186,0.016190953,0.00166917,1.341489822,0.27,25.6,0.9,0.07,0.03,1,0.144818327
Lisse,0.288877034,0.144505201,0.116030942,0.120632169,0.055481462,0.060149373,0.04001067,0.031675113,0.039143772,0.029874633,0.048012803,0.024006402,0.001600427,2.299735915,0.22,26.6,0.87,0.08,0.05,2,0.131003213
Littenseradiel,0.202132196,0.255152807,0.071357498,0.097796731,0.090405117,0.09068941,0.089267946,0.031982942,0.024591329,0.0297086,0.005685856,0.010945274,0.000284293,0,0.25,25.1,0.95,0.03,0.02,1,0.135026987
Lochem,0.279982537,0.159397511,0.067714473,0.151233355,0.076970094,0.094302554,0.071774722,0.01763807,0.027373936,0.028640035,0.003012443,0.013184894,0.008775377,0.789505069,0.35,27.9,0.9,0.06,0.04,1,0.153137576
Loon op Zand,0.272354901,0.145376284,0.172174396,0.095043044,0.114273813,0.0651208,0.03901694,0.009094696,0.039364066,0.022632602,0.005345737,0.014371008,0.005831713,1.535497835,0.22,25.8,0.9,0.07,0.04,1,0.139652709
Lopik,0.24196743,0.193772007,0.158230634,0.06227993,0.048195423,0.037301937,0.029489437,0.079665493,0.027508803,0.018705986,0.079995599,0.015294894,0.00759243,0.376495426,0.17,27.2,0.92,0.04,0.04,1,0.121058559
Loppersum,0.106746765,0.200708564,0.084873691,0.082255083,0.145717807,0.111367837,0.079944547,0.096272335,0.028650647,0.035736291,0.018484288,0.008934073,0.000308071,0,0.24,23.6,0.94,0.04,0.02,1,0.156142828
Losser,0.20333754,0.259150189,0.163932127,0.104964241,0.100687141,0.046837751,0.040877857,0.009535829,0.035619128,0.014934792,0.001051746,0.015986538,0.003085121,0.912366548,0.24,24,0.86,0.11,0.03,1,0.151943777
Maasdriel,0.258277712,0.186624787,0.209200366,0.075121057,0.088077477,0.043711556,0.033307159,0.013021856,0.032587358,0.018976574,0.019303756,0.019172883,0.002617458,0.464962902,0.25,26.2,0.9,0.07,0.03,1,0.131958763
Maasgouw,0.20838121,0.16640757,0.196552889,0.104832714,0.123758026,0.052855694,0.033997972,0.006353498,0.052382562,0.029199054,0.001419398,0.023115918,0.000743494,0.313288478,0.26,25.9,0.86,0.11,0.03,1,0.16488601
Maassluis,0.226914386,0.13396937,0.170123023,0.094150138,0.069344715,0.058900326,0.05453176,0.037860909,0.039467738,0.027968868,0.008586493,0.019131308,0.059050967,2.892483056,0.23,25.1,0.73,0.08,0.19,3,0.140585516
Maastricht,0.158933144,0.106108373,0.184672084,0.150156151,0.113864097,0.110134245,0.05355002,0.008332963,0.041442802,0.038378994,0.001169279,0.023311576,0.009946272,3.029814272,0.37,23.5,0.69,0.2,0.11,3,0.126383877
Marum,0.192947642,0.181499008,0.144252786,0.082124866,0.117081362,0.065486185,0.070828881,0.06014349,0.033124714,0.023813158,0.011143337,0.017401923,0.000152648,0.348411935,0.21,24.2,0.94,0.04,0.02,1,0.129187524
Medemblik,0.288892982,0.146730521,0.13118438,0.112654264,0.074673052,0.062884509,0.049511881,0.025861116,0.039270584,0.030134463,0.008804568,0.023540247,0.005857432,0.609850204,0.25,25.2,0.88,0.08,0.04,1,0.14022425
Meerssen,0.200396825,0.16531746,0.180396825,0.121746032,0.113968254,0.072142857,0.041666667,0.005634921,0.048650794,0.027539683,0.001111111,0.020793651,0.000634921,0.623492396,0.31,27.1,0.88,0.1,0.03,1,0.150534815
Meierijstad,0.259723811,0.177970257,0.131312306,0.107043635,0.136644059,0.060508253,0.038895244,0.005025331,0.032031378,0.019284197,0.000980552,0.013891159,0.016689819,1.412294979,0.22,,0.87,0.07,0.06,2,0.131527877
Menameradiel,0.185337915,0.198969072,0.097250859,0.105841924,0.111340206,0.087056128,0.10137457,0.03814433,0.028636884,0.024627721,0.005498282,0.015578465,0.000343643,0,0.2,24,0.94,0.04,0.02,1,0.13958674
Menterwolde,0.136542497,0.09456978,0.180482686,0.082896118,0.207371459,0.073321091,0.090372508,0.03567681,0.046694648,0.029905561,0.004066107,0.016920252,0.001180483,0.328947368,0.21,22.8,0.93,0.04,0.03,1,0.154990955
Meppel,0.216386951,0.136385065,0.10178201,0.117197813,0.112954931,0.090891948,0.076089006,0.058551763,0.032151612,0.027625872,0.005091458,0.016971526,0.007920045,1.74568574,0.31,23.9,0.89,0.05,0.06,2,0.124996215
Midden-Delfland,0.322979916,0.189241787,0.096061031,0.129378795,0.037677098,0.06546785,0.041725051,0.040012455,0.022108049,0.022808656,0.005994084,0.023120037,0.003425191,1.851287441,0.32,30.4,0.89,0.06,0.05,2,0.119417884
Midden-Drenthe,0.207460375,0.17630716,0.11231554,0.099927127,0.110311532,0.071688832,0.091410093,0.041082164,0.036755329,0.023820368,0.009792312,0.018719257,0.000409911,0.361485475,0.26,24.7,0.92,0.04,0.03,1,0.14701039
Mill en Sint Hubert,0.233508869,0.204961197,0.136640798,0.077743902,0.200110865,0.045177384,0.032427938,0.006374723,0.033120843,0.015798226,0.001662971,0.011640798,0.000831486,0.235892692,0.21,25.3,0.94,0.04,0.02,1,0.143333025
Moerdijk,0.257188217,0.144469924,0.179881813,0.083436232,0.118363027,0.055256659,0.041144823,0.0258864,0.039292644,0.026371494,0.006218028,0.017595696,0.004895043,1.071177267,0.26,26.1,0.89,0.07,0.04,1,0.136936986
Molenwaard,0.162175117,0.173679165,0.098902855,0.042927141,0.04814657,0.029452493,0.034405624,0.141031104,0.01848104,0.014113762,0.221825735,0.013900724,0.000958671,0.422458062,0.21,27.2,0.94,0.03,0.03,1,0.112864576
Montferland,0.239281197,0.186853928,0.175121036,0.093688664,0.119684215,0.053953854,0.043485846,0.006542504,0.038164609,0.021197714,0.001701051,0.015745627,0.004579753,0.999716874,0.2,24,0.88,0.08,0.03,1,0.141040888
Montfoort,0.289612097,0.164803857,0.119000657,0.101030024,0.045584046,0.057856673,0.039009424,0.054898093,0.023668639,0.019066404,0.057089634,0.019614289,0.008766163,0.865800866,0.29,28.7,0.9,0.05,0.05,2,0.118996106
Mook en Middelaar,0.247061019,0.11979847,0.102071282,0.164023139,0.112334391,0.108229147,0.061205449,0.010636313,0.020899422,0.040492629,0.000746408,0.011942527,0.000559806,0.437580438,0.31,29.5,0.86,0.1,0.04,1,0.160514469
Neder-Betuwe,0.149023424,0.109960381,0.141308125,0.046778342,0.05275596,0.028080906,0.047890457,0.04705637,0.026690762,0.012719817,0.320984222,0.013067352,0.003683881,0.517374517,0.19,24.6,0.93,0.05,0.02,1,0.116379865
Nederweert,0.233367643,0.216805465,0.172546084,0.095723777,0.112753813,0.046879386,0.033217928,0.004304295,0.046598671,0.018995041,0.001310003,0.017310751,0.000187143,0.755186722,0.27,25.1,0.91,0.06,0.02,1,0.145398482
Neerijnen,0.230220493,0.147081712,0.174967575,0.072892348,0.059143969,0.04228275,0.048378729,0.03540856,0.028274968,0.021141375,0.122438392,0.016212711,0.00155642,0,0.28,28,0.92,0.05,0.03,1,0.115278678
Nieuwegein,0.219779924,0.106674917,0.163926928,0.122144798,0.098684388,0.086120154,0.061153111,0.026904141,0.041082623,0.030885953,0.006268665,0.017971966,0.018402432,2.895910781,0.27,25.6,0.74,0.1,0.16,3,0.148331933
Nieuwkoop,0.311406695,0.178058459,0.138937014,0.097580059,0.052087408,0.056949645,0.038003689,0.027999776,0.031408931,0.021405019,0.020566702,0.023249315,0.002347287,0.514326648,0.26,28.2,0.9,0.06,0.04,1,0.13516515
Nijkerk,0.228901515,0.184734848,0.127386364,0.078901515,0.047121212,0.048068182,0.036590909,0.107386364,0.02530303,0.017575758,0.070530303,0.014848485,0.012651515,1.7326472,0.22,26.3,0.89,0.05,0.06,2,0.116074207
Nijmegen,0.145267778,0.067242808,0.096647877,0.197302638,0.113385726,0.203904891,0.063782317,0.013040588,0.01837703,0.047527115,0.001384196,0.012539727,0.019597308,3.016363217,0.43,23.8,0.75,0.12,0.14,3,0.106899214
Nissewaard,0.207046644,0.093896437,0.242319079,0.080407035,0.107130953,0.060643492,0.05644766,0.02244966,0.056937827,0.030488403,0.007097622,0.026665098,0.00847009,2.740194357,0.2,25.2,0.77,0.09,0.14,3,0.138827414
Noord-Beveland,0.249733646,0.148732154,0.151502237,0.070743661,0.087364159,0.053910079,0.063072661,0.030044747,0.03728958,0.038354997,0.046239079,0.022373748,0.00063925,0,0.25,24.6,0.88,0.09,0.03,1,0.161880249
Noordenveld,0.213745969,0.124993984,0.109255427,0.126197237,0.099244357,0.10020696,0.104923714,0.040958752,0.030947683,0.029696299,0.004716754,0.015064735,4.81E-05,0.839599757,0.3,25.5,0.88,0.04,0.08,2,0.140626421
Noordoostpolder,0.226414414,0.203495495,0.116684685,0.078702703,0.084936937,0.048504505,0.046126126,0.081477477,0.025693694,0.018846847,0.044,0.017801802,0.007315315,0.966910185,0.2,24.2,0.86,0.07,0.07,2,0.118554486
Noordwijk,0.339873263,0.116134536,0.128077017,0.116317329,0.057457958,0.071533025,0.046551304,0.016816963,0.036071167,0.031684134,0.004813551,0.030404582,0.004265172,2.438345574,0.29,28.7,0.83,0.12,0.05,2,0.140565199
Noordwijkerhout,0.338215325,0.139961203,0.134820563,0.109214355,0.057516974,0.064888458,0.037536372,0.011639185,0.042483026,0.028031038,0.001454898,0.032880698,0.001357905,1.802083333,0.24,26.3,0.85,0.11,0.04,1,0.136597622
Nunspeet,0.160880418,0.165929204,0.102677558,0.044871795,0.03925573,0.028874518,0.02195371,0.137281597,0.019287497,0.015656909,0.249375993,0.011856138,0.002098934,1.136853849,0.19,25.2,0.93,0.04,0.03,1,0.120853786
