"Muni","CDA","Urban_index","High_edu_perc","Mean_income","Non_west","Perc_60plus"
"Edam-Volendam",0.221916998,2.001396258,0.19,27.6,"1",0.13622905
"Ede",0.149348017,2.113373887,0.31,25.7,"2",0.114855274
"Eemnes",0.134313398,1.385555556,0.24,29,"2",0.133459273
"Eemsmond",0.171199684,0.247126437,0.19,22.1,"1",0.148505365
"Eersel",0.204738862,0.661994609,0.31,28.2,"1",0.13662822
"Eijsden-Margraten",0.209041916,0.438339921,0.34,27.3,"1",0.152666324
"Eindhoven",0.086457026,3.220302376,0.35,24.6,"3",0.100913306
"Elburg",0.195696721,0.88102475,0.23,24.4,"1",0.115000434
"Emmen",0.143671175,1.090985208,0.18,22.3,"2",0.139436227
"Enkhuizen",0.102017443,2.320173067,0.27,24.1,"2",0.137561556
"Enschede",0.122802579,2.768433034,0.27,22.2,"3",0.109358796
"Epe",0.155053418,0.976951444,0.2,26,"2",0.144082122
"Ermelo",0.206255771,1.477999248,0.33,26.9,"1",0.135840542
"Etten-Leur",0.137653553,2.435277713,0.27,25.8,"2",0.130917796
"Ferwerderadiel",0.28084385,0,0.19,22.8,"1",0.135203205
"Franekeradeel",0.217903137,0.867457962,0.23,22.4,"1",0.143012614
"Geertruidenberg",0.127539503,1.781395349,0.2,25.4,"1",0.133649554
"Geldermalsen",0.134264107,0.738999624,0.27,27.7,"1",0.126528002
"Geldrop-Mierlo",0.13941871,2.069600819,0.3,25.9,"2",0.132708941
"Gemert-Bakel",0.199351877,1.18254497,0.2,24.9,"1",0.132427391
"Gennep",0.1420428,0.810274372,0.27,24.6,"1",0.149804425
"Giessenlanden",0.177111994,0.098630137,0.27,28.7,"1",0.134625925
"Gilze en Rijen",0.139750976,1.738267837,0.29,25.4,"2",0.133295195
"Goeree-Overflakkee",0.129491183,0.886742035,0.23,26.2,"1",0.133640269
"Goes",0.147394626,1.768776824,0.29,25.4,"2",0.135590492
"Goirle",0.134041847,1.794168096,0.32,27,"1",0.153664708
"Gorinchem",0.100215922,2.542785235,0.27,25,"3",0.110977486
"Gouda",0.100982282,3.255888502,0.33,25.4,"3",0.121069796
"Grave",0.151349287,0.777687955,0.25,25.3,"2",0.141471302
"Grootegast",0.275030157,0,0.19,22.9,"1",0.118198257
"Gulpen-Wittem",0.189821883,0.207112971,0.31,25.6,"1",0.167887285
"Haaksbergen",0.246475327,1.450350227,0.21,24.8,"2",0.137895517
"Haaren",0.198304127,0.291157441,0.27,29,"1",0.151020702
"Haarlem",0.061758747,3.735397563,0.42,26.1,"3",0.109691074
"Haarlemmerliede en Spaarnwoude",0.114682648,0.64664311,0.21,28.6,"2",0.131862312
"Haarlemmermeer",0.105204061,2.434726027,0.29,28,"3",0.114867503
"Halderberge",0.138574284,0.980730223,0.25,25.7,"2",0.143277325
"Hardenberg",0.259727728,0.615346288,0.16,23.6,"1",0.118333859
"Harderwijk",0.171326841,2.275943905,0.24,25.1,"3",0.117621678
"Hardinxveld-Giessendam",0.151286062,1.391498881,0.23,25.7,"1",0.110004476
"Haren",0.115948636,1.302503832,0.46,30.8,"2",0.136433316
"Harlingen",0.140191733,1.522698613,0.25,22.2,"1",0.144388398
"Hattem",0.189377017,1.208471761,0.31,26.6,"1",0.130980066
"Heemskerk",0.10841951,3.111309676,0.23,25.8,"3",0.123969263
"Heemstede",0.101797753,2.475129918,0.47,35.3,"2",0.141186516
"Heerde",0.214490381,0.785560345,0.27,25.7,"1",0.137600345
"Heerenveen",0.137660599,1.324701195,0.23,24.1,"2",0.126088082
"Heerhugowaard",0.111124973,2.488262056,0.21,24.9,"3",0.112811647
"Heerlen",0.097467305,2.694116298,0.22,21.8,"2",0.140315866
"Heeze-Leende",0.177452217,0.616804583,0.28,29.2,"1",0.147639048
"Heiloo",0.11302572,1.97944007,0.36,29.5,"1",0.140219626
"Hellendoorn",0.306369561,1.13666853,0.18,24.2,"1",0.135720675
"Hellevoetsluis",0.090559261,2.4062984,0.22,26.7,"2",0.149269149
"Helmond",0.107477779,2.409557444,0.23,23.7,"3",0.111134412
"Hendrik-Ido-Ambacht",0.125140804,2.771687962,0.24,27.5,"2",0.105008241
"het Bildt",0.219546967,0.168571429,0.19,21.9,"1",0.138473268
"Heumen",0.150122161,1.029126214,0.33,28.6,"1",0.144704097
"Heusden",0.146451919,1.565487132,0.31,26.3,"2",0.131331005
"Hillegom",0.12376499,2.331299859,0.24,26.2,"2",0.130606117
"Hilvarenbeek",0.206145967,0.67539267,0.29,27.5,"1",0.134593993
"Hilversum",0.082896118,3.289041404,0.39,27.4,"3",0.110498605
"Hof van Twente",0.248523977,0.779777207,0.28,26,"1",0.136928394
"Hollands Kroon",0.131919226,0.430581811,0.19,25,"1",0.134789916
"Hoogeveen",0.205250737,1.559211716,0.19,22.5,"2",0.12541809
"Hoogezand-Sappemeer",0.089324075,1.910896874,0.2,21.8,"3",0.132478383
"Hoorn",0.08960221,2.462546558,0.25,24.8,"3",0.12947457
"Horst aan de Maas",0.224982799,0.73089701,0.24,25.7,"1",0.133605449
"Houten",0.122037156,2.206085193,0.41,29.7,"2",0.117586207
"Huizen",0.130464097,2.840985984,0.33,28.3,"3",0.148446184
"Hulst",0.155063497,0.477372263,0.21,25.3,"1",0.146705603
"IJsselstein",0.125011865,2.702426191,0.3,27.8,"3",0.108103368
"Kaag en Braassem",0.155863491,0.775502465,0.23,28,"1",0.13744597
"Kampen",0.195175373,1.9083984,0.23,23.3,"2",0.107291806
"Kapelle",0.156886518,0.874109264,0.26,26.4,"1",0.127238156
"Katwijk",0.204955849,3.024790827,0.2,25.6,"2",0.113556065
"Kerkrade",0.110844817,2.556934465,0.2,21.4,"2",0.15900037
"Koggenland",0.153936302,0.48268206,0.26,26.3,"1",0.131427049
"Kollumerland en Nieuwkruisland",0.285370183,0.360248447,0.16,22.2,"1",0.124145432
"Korendijk",0.126909842,0.046532847,0.24,27.4,"1",0.136782553
"Krimpen aan den IJssel",0.107129526,2.840027463,0.24,26.8,"2",0.128111802
"Krimpenerwaard",0.133035862,1.073731884,0.25,27.1,"2",0.126277081
"Laarbeek",0.174241324,0.743391067,0.25,25.6,"1",0.141327135
"Landerd",0.190893693,0.545632334,0.28,25.8,"1",0.141077485
"Landgraaf",0.118680172,2.395460614,0.25,23.3,"1",0.159325111
"Landsmeer",0.074305934,1.497781721,0.36,30.1,"2",0.136762749
"Langedijk",0.120490742,1.333936979,0.3,26.7,"2",0.139524775
"Lansingerland",0.135798801,2.049417637,0.36,30.4,"3",0.097396223
"Leek",0.15904685,0.940458015,0.26,24,"1",0.13490811
"Leerdam",0.131160447,1.867527499,0.25,24.5,"3",0.124850514
"Leeuwarden",0.10832566,2.651789822,0.3,22.6,"3",0.113631553
"Leeuwarderadeel",0.195778207,0.674579624,0.25,24.1,"1",0.153146023
"Leiden",0.062921172,3.738497615,0.45,26,"3",0.103072108
"Leiderdorp",0.114277556,3.210836712,0.32,28.3,"3",0.130713654
"Leidschendam-Voorburg",0.117005226,3.436595174,0.39,28.3,"3",0.130998338
"Lelystad",0.090135734,2.068096166,0.23,23.5,"3",0.133056917
"Leudal",0.180122011,0.275362319,0.24,25.9,"1",0.150537934
"Leusden",0.149003464,1.810309973,0.34,29.4,"2",0.138625872
"Lingewaal",0.171243273,0.134529148,0.24,27.1,"1",0.135687399
"Lingewaard",0.142246703,1.341489822,0.27,25.6,"1",0.144818327
"Lisse",0.144505201,2.299735915,0.22,26.6,"2",0.131003213
"Littenseradiel",0.255152807,0,0.25,25.1,"1",0.135026987
"Lochem",0.159397511,0.789505069,0.35,27.9,"1",0.153137576
"Loon op Zand",0.145376284,1.535497835,0.22,25.8,"1",0.139652709
"Lopik",0.193772007,0.376495426,0.17,27.2,"1",0.121058559
"Loppersum",0.200708564,0,0.24,23.6,"1",0.156142828
"Losser",0.259150189,0.912366548,0.24,24,"1",0.151943777
"Maasdriel",0.186624787,0.464962902,0.25,26.2,"1",0.131958763
"Maasgouw",0.16640757,0.313288478,0.26,25.9,"1",0.16488601
"Maassluis",0.13396937,2.892483056,0.23,25.1,"3",0.140585516
"Maastricht",0.106108373,3.029814272,0.37,23.5,"3",0.126383877
"Marum",0.181499008,0.348411935,0.21,24.2,"1",0.129187524
"Medemblik",0.146730521,0.609850204,0.25,25.2,"1",0.14022425
"Meerssen",0.16531746,0.623492396,0.31,27.1,"1",0.150534815
"Menameradiel",0.198969072,0,0.2,24,"1",0.13958674
"Menterwolde",0.09456978,0.328947368,0.21,22.8,"1",0.154990955
"Meppel",0.136385065,1.74568574,0.31,23.9,"2",0.124996215
"Midden-Delfland",0.189241787,1.851287441,0.32,30.4,"2",0.119417884
"Midden-Drenthe",0.17630716,0.361485475,0.26,24.7,"1",0.14701039
"Mill en Sint Hubert",0.204961197,0.235892692,0.21,25.3,"1",0.143333025
"Moerdijk",0.144469924,1.071177267,0.26,26.1,"1",0.136936986
"Molenwaard",0.173679165,0.422458062,0.21,27.2,"1",0.112864576
"Montferland",0.186853928,0.999716874,0.2,24,"1",0.141040888
"Montfoort",0.164803857,0.865800866,0.29,28.7,"2",0.118996106
"Mook en Middelaar",0.11979847,0.437580438,0.31,29.5,"1",0.160514469
"Neder-Betuwe",0.109960381,0.517374517,0.19,24.6,"1",0.116379865
"Nederweert",0.216805465,0.755186722,0.27,25.1,"1",0.145398482
"Neerijnen",0.147081712,0,0.28,28,"1",0.115278678
"Nieuwegein",0.106674917,2.895910781,0.27,25.6,"3",0.148331933
"Nieuwkoop",0.178058459,0.514326648,0.26,28.2,"1",0.13516515
"Nijkerk",0.184734848,1.7326472,0.22,26.3,"2",0.116074207
"Nijmegen",0.067242808,3.016363217,0.43,23.8,"3",0.106899214
"Nissewaard",0.093896437,2.740194357,0.2,25.2,"3",0.138827414
"Noord-Beveland",0.148732154,0,0.25,24.6,"1",0.161880249
"Noordenveld",0.124993984,0.839599757,0.3,25.5,"2",0.140626421
"Noordoostpolder",0.203495495,0.966910185,0.2,24.2,"2",0.118554486
"Noordwijk",0.116134536,2.438345574,0.29,28.7,"2",0.140565199
"Noordwijkerhout",0.139961203,1.802083333,0.24,26.3,"1",0.136597622
"Nunspeet",0.165929204,1.136853849,0.19,25.2,"1",0.120853786
"Nuth",0.181530552,0.473546702,0.3,25.9,"1",0.154263313
"Oegstgeest",0.103840777,2.633629818,0.45,34,"2",0.122204338
"Oirschot",0.197056148,0.70972973,0.26,27.6,"1",0.140440024
"Oisterwijk",0.146840932,1.464148034,0.33,28.4,"2",0.134947563
"Oldambt",0.101883923,1.039087093,0.16,21.6,"1",0.147895455
"Oldebroek",0.19538661,0.896818573,0.18,24.1,"1",0.122678019
"Oldenzaal",0.208471437,2.177132146,0.27,24.7,"2",0.135349622
"Olst-Wijhe",0.206940764,0.503064067,0.26,25.3,"1",0.137884947
"Ommen",0.323498875,0.653736452,0.22,25.2,"1",0.139353146
"Onderbanken",0.146132376,0.567430025,0.2,23.8,"1",0.155880483
"Oost Gelre",0.246353657,1.050286871,0.23,25,"1",0.137848417
"Oosterhout",0.11901822,2.225233474,0.27,25.9,"3",0.138213318
"Ooststellingwerf",0.169789155,0.48297456,0.2,22.9,"1",0.146319499
"Oostzaan",0.067206864,1.54507772,0.28,28.2,"2",0.122358061
"Opmeer",0.156936336,0.619089317,0.25,25.9,"1",0.137127846
"Opsterland",0.169901622,0.360026918,0.2,24.2,"1",0.133555421
"Oss",0.144568007,1.909060737,0.26,25,"2",0.127235107
"Oud-Beijerland",0.117872422,2.168609492,0.26,27.3,"1",0.130876535
"Oude IJsselstreek",0.1872762,0.857215062,0.24,23.5,"2",0.143196522
"Ouder-Amstel",0.100132227,1.825633383,0.36,31.5,"3",0.136969968
"Oudewater",0.187849479,1.217647059,0.27,28.3,"1",0.127613625
"Overbetuwe",0.152051677,1.136737708,0.3,26.1,"1",0.124150736
"Papendrecht",0.133533494,2.737608426,0.28,26.4,"2",0.1243342
"Peel en Maas",0.236258402,0.734948097,0.2,24.9,"1",0.142408933
"Pekela",0.102043615,0.484824281,0.16,20.8,"1",0.139090836
"Pijnacker-Nootdorp",0.128767724,2.409039119,0.37,29.3,"3",0.094936949
"Purmerend",0.080410248,3.185912674,0.23,24.8,"3",0.121134021
"Putten",0.210776644,1.340155546,0.29,25.9,"1",0.118634354
"Raalte",0.292205925,0.829856407,0.24,25.1,"1",0.137589075
"Reimerswaal",0.118647948,0.636404293,0.17,24.5,"1",0.102120236
"Renkum",0.121252882,1.294904459,0.4,28.4,"2",0.148864324
