"","Zeer.sterk.stedelijk","Sterk.stedelijk","Matig.stedelijk","Weinig.stedelijk","Niet.stedelijk","stedelijkheidsindex"
"Gennep",0,0,4330,5220,7580,0.810274372446001
"Giessenlanden",0,0,0,1440,13160,0.0986301369863014
"Gilze en Rijen",0,8700,5060,9340,3110,1.73826783670355
"Goeree-Overflakkee",0,3360,6780,19500,19010,0.886742034943474
"Goes",0,14660,7200,7560,7860,1.76877682403433
"Goirle",0,6890,7780,5610,3040,1.79416809605489
"Gooise Meren",15510,20160,8820,6150,6300,2.5695468914647
"Gorinchem",2790,19370,9330,3000,1270,2.54278523489933
"Gouda",32740,26960,10030,1710,310,3.25588850174216
"Grave",0,0,1000,7620,3750,0.777687954729184
"'s-Gravenhage",429950,60230,25830,7170,1710,3.73282020994875
"Groningen",126100,33390,22450,11020,9680,3.25942558231346
"Grootegast",0,0,0,0,12170,0
"Gulpen-Wittem",0,0,0,2970,11370,0.207112970711297
"Haaksbergen",0,3810,8230,7310,4920,1.45035022661722
"Haaren",0,0,0,4050,9860,0.291157440690151
"Haarlem",123880,30350,3930,320,740,3.73539756312021
"Haarlemmerliede en Spaarnwoude",0,0,1480,700,3480,0.646643109540636
"Haarlemmermeer",16810,68990,32040,17180,10980,2.43472602739726
"Halderberge",0,1340,4460,16070,7710,0.980730223123732
"Hardenberg",0,0,9500,18050,32660,0.615346287992028
"Harderwijk",0,21480,19500,2050,3320,2.27594390507012
"Hardinxveld-Giessendam",0,0,8540,7800,1540,1.39149888143177
"Haren",0,1190,7770,6380,4230,1.30250383239653
"Harlingen",0,1700,6980,5090,2090,1.52269861286255
"Hattem",0,0,4610,5330,2100,1.20847176079734
"Heemskerk",16890,15350,3110,2040,1780,3.11130967577227
"Heemstede",2050,15170,3870,5230,620,2.47512991833705
"Heerde",0,0,2260,10060,6240,0.785560344827586
"Heerenveen",1290,13180,6650,8500,20580,1.32470119521912
"Heerhugowaard",5480,29400,10610,5390,4070,2.48826205641492
"Heerlen",8630,51270,20240,6090,960,2.69411629774057
"Heeze-Leende",0,0,1370,6950,7390,0.616804583068109
"Heiloo",0,9050,5290,7520,1000,1.97944006999125
"Den Helder",7540,26000,16770,3800,1910,2.59728668332738
"Hellendoorn",0,3680,7970,13690,10440,1.13666852990497
"Hellevoetsluis",1620,20650,10180,4430,1860,2.40629839958699
"Helmond",14430,32910,21900,18080,3290,2.40955744399073
"Hendrik-Ido-Ambacht",1170,22040,5170,1290,70,2.77168796234028
"Hengelo",16810,32050,18280,10780,2880,2.60804455445545
"'s-Hertogenbosch",30250,57500,26690,22460,15510,2.42333180237517
"Heumen",0,0,5450,6060,4970,1.02912621359223
"Heusden",0,11620,10890,11490,9520,1.56548713235294
"Hillegom",0,12910,5090,770,2540,2.33129985922102
"Hilvarenbeek",0,0,2410,5500,7370,0.675392670157068
"Hilversum",50230,22050,10030,5200,1370,3.28904140414041
"Hof van Twente",0,0,6220,14860,13930,0.779777206512425
"Hollands Kroon",0,0,1070,18360,28180,0.430581810544003
"Hoogeveen",0,16640,13300,9720,15650,1.55921171578376
"Hoogezand-Sappemeer",0,15640,6300,5890,6400,1.91089687408706
