"Muni","CDA","Urban_index","High_edu_perc","Mean_income","Non_west_perc","Non_west"
"Woensdrecht",0.142074767838717,0.986721611721612,0.19,25.5,0.03,"1"
"Woerden",0.157096030108049,1.83964278780819,0.33,28.4,0.08,"2"
"Wormerland",0.0992703533026114,2.02465233881163,0.27,26.7,0.06,"2"
"Woudenberg",0.1585516559565,1.32781717888101,0.31,27.2,0.05,"2"
"Woudrichem",0.209831254585473,0.225584594222834,0.25,26.8,0.02,"1"
"Zaanstad",0.073797809871449,2.73008849557522,0.25,24.3,0.2,"3"
"Zaltbommel",0.129619867627248,0.789397764154345,0.26,26.5,0.06,"2"
"Zandvoort",0.0763180073040547,2.68442865600947,0.26,26.3,0.08,"2"
"Zederik",0.210406256789051,0.0534296028880866,0.22,27.1,0.02,"1"
"Zeewolde",0.14622641509434,1.29875333926981,0.25,25.6,0.06,"2"
"Zeist",0.0977191063896266,2.36155315085933,0.44,29.5,0.14,"3"
"Zevenaar",0.155867737003058,1.75108091414453,0.25,24.2,0.05,"2"
"Zoetermeer",0.0998493651818377,3.2885308968502,0.3,26,0.2,"3"
"Zoeterwoude",0.171345770693715,1.05495818399044,0.3,28.8,0.05,"2"
"Zuidhorn",0.188168557536467,0.356839872746554,0.35,25.3,0.03,"1"
"Zuidplas",0.122811681160521,1.8350614902339,0.27,28.5,0.08,"2"
"Zundert",0.183099682441329,0.602493074792244,0.19,25.6,0.03,"1"
"Zutphen",0.0944842019983797,2.29340937896071,0.33,23.6,0.09,"2"
"Zwartewaterland",0.195703375918921,0.904078888390856,0.2,24.9,0.02,"1"
"Zwijndrecht",0.127001820681455,2.9772624943719,0.23,25.2,0.13,"3"
"Zwolle",0.114236719666116,2.71095181202708,0.4,24.9,0.1,"3"
