"","Gemeente","Percentage highly educated"
"269","Steenbergen",22
"270","Waterland",28
"271","Tilburg",31
"272","Uden",28
"273","Valkenswaard",21
"274","Veldhoven",34
"275","Vught",40
"276","Waalre",36
"277","Waalwijk",24
"278","Werkendam",18
"279","Woensdrecht",19
"280","Woudrichem",25
"281","Zundert",19
"282","Wormerland",27
"283","Onderbanken",20
"284","Landgraaf",25
"285","Beek",35
"286","Beesel",16
"287","Bergen (L.)",16
"288","Brunssum",21
"289","Gennep",27
"290","Heerlen",22
"291","Kerkrade",20
"292","Maastricht",37
"293","Meerssen",31
"294","Mook en Middelaar",31
"295","Nederweert",27
"296","Nuth",30
"297","Roermond",29
"298","Schinnen",34
"299","Simpelveld",22
"300","Stein",23
"301","Vaals",21
"302","Venlo",23
"303","Venray",25
"304","Voerendaal",33
"305","Weert",24
"306","Valkenburg aan de Geul",26
"307","Lelystad",23
"308","Horst aan de Maas",24
"309","Oude IJsselstreek",24
"310","Teylingen",33
"311","Utrechtse Heuvelrug",39
"312","Oost Gelre",23
"313","Koggenland",26
"314","Lansingerland",36
"315","Leudal",24
"316","Maasgouw",26
"317","Eemsmond",19
"318","Gemert-Bakel",20
"319","Halderberge",25
"320","Heeze-Leende",28
"321","Laarbeek",25
"322","De Marne",21
"323","Reusel-De Mierden",31
"324","Roerdalen",24
"325","Roosendaal",24
"326","Schouwen-Duiveland",22
"327","Aa en Hunze",27
"328","Borger-Odoorn",24
"329","Cuijk",22
"330","Landerd",28
"331","De Wolden",23
"332","Noord-Beveland",25
"333","Wijdemeren",27
"334","Noordenveld",30
"335","Twenterand",20
"336","Westerveld",24
"337","Sint Anthonis",18
"338","Lingewaard",27
"339","Cranendonck",24
"340","Steenwijkerland",22
"341","Moerdijk",26
"342","Echt-Susteren",28
"343","Sluis",28
"344","Drimmelen",23
"345","Bernheze",28
"346","Ferwerderadiel",19
"347","Alphen-Chaam",28
"348","Bergeijk",25
"349","Bladel",21
"350","Gulpen-Wittem",31
"351","Tynaarlo",35
"352","Midden-Drenthe",26
"353","Overbetuwe",30
"354","Hof van Twente",28
"355","Neder-Betuwe",19
"356","Rijssen-Holten",20
"357","Geldrop-Mierlo",30
"358","Olst-Wijhe",26
"359","Dinkelland",26
"360","Westland",24
"361","Midden-Delfland",32
"362","Berkelland",25
"363","Bronckhorst",21
"364","Sittard-Geleen",25
"365","Kaag en Braassem",23
"366","Dantumadiel",22
"367","Zuidplas",27
"368","Peel en Maas",20
"369","Oldambt",16
"370","Zwartewaterland",20
"371","Súdwest-Fryslân",26
"372","Bodegraven-Reeuwijk",30
"373","Eijsden-Margraten",34
"374","Stichtse Vecht",34
"375","Menameradiel",20
"376","Hollands Kroon",19
"377","Leidschendam-Voorburg",39
"378","Goeree-Overflakkee",23
"379","Pijnacker-Nootdorp",37
"380","Molenwaard",21
"381","Nissewaard",20
"382","Krimpenerwaard",25
"383","De Fryske Marren",23
"384","Gooise Meren",39
"385","Berg en Dal",26
"386","Meierijstad",22
"387","Montferland",20
"388","Menterwolde",21
