Gemeente;Zeer sterk stedelijk;Sterk stedelijk;Matig stedelijk;Weinig stedelijk;Niet stedelijk
Hilvarenbeek;0;0;2410;5500;7370
Hilversum;50230;22050;10030;5200;1370
Hof van Twente;0;0;6220;14860;13930
Hollands Kroon;0;0;1070;18360;28180
Hoogeveen;0;16640;13300;9720;15650
Hoogezand-Sappemeer;0;15640;6300;5890;6400
Hoorn;0;42510;21150;8680;150
Horst aan de Maas;0;1150;7660;12030;21300
Houten;0;25310;12310;8210;3470
Huizen;10500;18970;7870;2910;1130
Hulst;0;0;3030;7020;17350
IJsselstein;3060;19540;10510;570;530
Kaag en Braassem;0;0;4790;10870;10710
Kampen;2500;18230;13340;8840;9600
Kapelle;0;0;1060;8920;2650
Katwijk;17340;36680;7310;1200;2010
Kerkrade;5580;20990;13140;5870;350
Koggenland;0;0;20;10830;11670
Kollumerland en Nieuwkruisland;0;0;0;4640;8240
Korendijk;0;0;0;510;10450
Krimpen aan den IJssel;2770;19770;5760;820;10
Krimpenerwaard;0;1450;15060;24800;13890
Laarbeek;0;0;2220;11870;7850
Landerd;0;0;0;8370;6970
Landgraaf;0;20560;12440;3150;1300
Landsmeer;0;0;7260;2360;1650
Langedijk;0;0;11940;12950;2720
Lansingerland;0;19210;28240;9060;3590
Laren (NH.);0;0;6220;3900;970
Leek;0;0;5940;6600;7110
Leerdam;0;5850;9620;2260;3180
Leeuwarden;42150;24650;16510;12600;12760
Leeuwarderadeel;0;0;0;6820;3290
Leiden;94280;26810;2320;150;110
Leiderdorp;14500;5450;5830;1100;250
Leidschendam-Voorburg;42410;27060;2730;90;2310
Lelystad;0;34830;19830;14990;7300
Leudal;0;0;0;9880;26000
Leusden;0;9690;8490;7680;3820
Lingewaal;0;20;50;1340;9740
Lingewaard;0;6250;14790;13620;11520
Lisse;0;11760;7610;1750;1600
Littenseradiel;0;0;0;0;10750
Lochem;0;2440;7280;4600;19220
Loon op Zand;0;3990;7670;8160;3280
Lopik;0;0;40;5270;8900
Loppersum;0;0;0;0;9910
Losser;0;0;5640;9230;7610
Maasdriel;0;0;970;9340;13950
Maasgouw;0;0;0;7450;16330
Maassluis;3420;22980;5310;650;100
Maastricht;46890;48080;15720;8700;3370
De Marne;0;0;0;0;10090
Marum;0;0;0;3620;6770
Medemblik;0;0;4480;17910;21670
Meerssen;0;0;880;10130;8060
Meierijstad;0;12640;28030;18820;20380
Menameradiel;0;0;0;0;13450
Menterwolde;0;0;0;4000;8160
Meppel;0;10460;9580;7120;5870
Middelburg (Z.);12170;14490;9600;7310;4440
Midden-Delfland;3340;3280;1470;9090;1850
Midden-Drenthe;0;0;1580;8910;22900
Mill en Sint Hubert;0;0;0;2550;8260
Moerdijk;0;5170;5940;12190;13650
Molenwaard;0;0;2520;7300;19390
Montferland;0;1090;11500;9040;13690
Montfoort;0;0;3040;5920;4900
Mook en Middelaar;0;0;0;3400;4370
Neder-Betuwe;0;0;0;12060;11250
Nederweert;0;0;4140;4460;8270
Neerijnen;0;0;0;0;12340
Nieuwegein;12900;33700;11680;3110;480
Nieuwkoop;0;0;1630;11100;15190
Nijkerk;0;11190;14300;10220;6070
Nijmegen;61090;74980;17230;19760;500
Nissewaard;29870;27840;10930;9180;7590
Noord-Beveland;0;0;0;0;7380
Noordenveld;0;700;7460;10670;14150
Noordoostpolder;0;5770;10510;6670;23590
Noordwijk;960;15300;5170;3000;1440
Noordwijkerhout;0;6010;5050;1280;3980
Nuenen, Gerwen en Nederwetten;0;4150;10010;4030;4680
Nunspeet;0;0;12370;5830;8690
Nuth;0;0;20;7210;8080
Oegstgeest;0;17120;4350;2120;20
Oirschot;0;0;4100;4930;9470
Oisterwijk;0;2420;10510;9700;3310
Oldambt;0;5420;7190;8970;16540
Oldebroek;0;0;6930;7000;9330
Oldenzaal;1590;12770;8810;7400;1440
Olst-Wijhe;0;0;0;9030;8920
Ommen;0;0;3030;5400;9100
Onderbanken;0;0;0;4460;3400
Oost Gelre;0;0;10460;10200;8970
Oosterhout;3170;24520;13940;7400;5580
Ooststellingwerf;0;0;1520;9300;14730
Oostzaan;0;0;6170;2570;910
Opmeer;0;0;0;7070;4350
Opsterland;0;0;740;9220;19760
Oss;9950;27670;17180;15390;20200
Oud-Beijerland;0;9690;9200;4620;510
Oude IJsselstreek;0;0;6040;21840;11690
Ouder-Amstel;1600;1420;4030;5780;590
Oudewater;0;0;4490;3440;2270
Overbetuwe;0;5310;8310;21320;12450
Papendrecht;4480;18350;5970;3460;20
Peel en Maas;0;0;5820;20220;17310
Pekela;0;0;0;6070;6450
Pijnacker-Nootdorp;0;30440;14950;5640;1630
Purmerend;27520;41300;9650;1370;90
Putten;0;3130;8860;5630;6810
Raalte;0;1130;7940;11360;16480
Reimerswaal;0;0;1370;11490;9500
Renkum;0;0;13490;13680;4230
Renswoude;0;0;0;3040;2070
Reusel-De Mierden;0;0;1480;6170;5250
Rheden;3850;15570;12780;6990;4450
Rhenen;0;0;8160;5010;6440
Ridderkerk;2380;26980;11950;1330;2770
Rijnwaarden;0;0;0;3820;7040
Rijssen-Holten;0;11850;8520;12670;4950
Rijswijk (ZH.);40280;7620;800;2310;20
Roerdalen;0;0;0;5720;14990
Roermond;8720;15880;10080;17820;4900
De Ronde Venen;0;6740;8270;19770;7990
Roosendaal;12850;32980;14020;10320;7000
Rotterdam;443370;122620;45680;18080;4900
Rozendaal;0;40;600;560;300
Rucphen;0;0;5010;10290;7040
Schagen;0;8080;5910;9620;22590
Scherpenzeel;0;0;3670;5450;580
Schiedam;55010;17810;4660;270;100
Schiermonnikoog;0;0;0;0;940
Schinnen;0;150;260;5430;7120
Schouwen-Duiveland;0;0;5700;7260;20810
Simpelveld;0;0;0;8790;1790
Sint Anthonis;0;0;0;2220;9370
Sint-Michielsgestel;0;0;1500;18690;8400
Sittard-Geleen;5020;34860;22080;22310;9060
Sliedrecht;1560;12710;5660;4910;170
Slochteren;0;0;0;40;14700
Sluis;0;0;0;10190;13470
Smallingerland;2550;19330;12550;8720;12540
Soest;630;20830;13760;8270;2390
Someren;0;0;6050;4900;8090
Son en Breugel;0;0;0;13940;2690
Stadskanaal;0;3760;6460;10090;11950
Staphorst;0;0;60;6330;10300
Stede Broec;0;3300;11980;5920;360
Steenbergen;0;0;6640;9610;7720
Steenwijkerland;0;2590;7240;9930;23700
Stein (L.);0;0;12560;8020;4490
Stichtse Vecht;0;23260;16200;10630;14360
Strijen;0;0;0;6310;2470
Súdwest-Fryslân;1010;13870;15100;16330;37860
Terneuzen;0;6600;14650;12040;21300
Terschelling;0;0;0;0;4860
Texel;0;0;4000;2600;6940
